"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"SL1344_1190",6.93627890286001,9.70100797197683,432.324492516887,2.05050187439187e-12,5.25801440722584e-09,"SL1344_1190","SL1344_1190"
"cdh-a",2.32180585448922,9.54954526568954,421.382215847779,2.466829870208e-12,5.25801440722584e-09,"SL1344_4013","cdh-a"
"mdoB",2.23346612653257,10.0657157996672,404.190079068964,3.32996479241662e-12,5.25801440722584e-09,"SL1344_4472","mdoB"
"SL1344_1189",3.95082798806381,6.9736750020793,358.369954680995,7.90253813194433e-12,7.48686462620406e-09,"SL1344_1189","SL1344_1189"
"SL1344_3560",3.06163515490827,7.43158307853652,367.996006900391,6.53463139407073e-12,7.48686462620406e-09,"SL1344_3560","SL1344_3560"
"phoN",3.9243721885536,9.38195437282659,348.560442561931,9.64074548511183e-12,7.61136856049579e-09,"SL1344_4255","phoN"
"ompF",-3.447374769553,8.66975399218805,323.061589979884,1.65948244050224e-11,1.12299547437987e-08,"SL1344_0936","ompF"
"htrA",3.50358924014621,9.94609821495518,303.366511168878,2.59839995077681e-11,1.23086205668297e-08,"SL1344_0210","htrA"
"rna",1.85942314090113,8.327530458525,306.322809032196,2.42503105698126e-11,1.23086205668297e-08,"SL1344_0605","rna"
"ompA",-2.13045693672989,12.8532848391097,310.742746298927,2.18974659856279e-11,1.23086205668297e-08,"SL1344_1010","ompA"
"phnO",3.23637191012664,6.10634200200727,281.657098942116,4.40436427033513e-11,1.89667941350705e-08,"SL1344_4224","phnO"
"virK",5.13707298833657,11.5445075010839,269.754898878102,6.08886819835622e-11,2.40358072130112e-08,"SL1344_2764","virK"
"yaiB",3.22889428257967,8.4518771367052,262.111667146032,7.32994932653749e-11,2.67092076613908e-08,"SL1344_0378","yaiB"
"ygiM",2.70919949282451,7.90228946969962,255.470689242133,8.78711270093553e-11,2.97318234745226e-08,"SL1344_3176","ygiM"
"gst",2.02351477374418,8.01567767516024,245.539877156624,1.16224759654185e-10,3.16691504730563e-08,"SL1344_1383","gst"
"pmrD",2.96657223949692,7.59488357319515,246.275025354764,1.13801993174136e-10,3.16691504730563e-08,"SL1344_2273","pmrD"
"fadL",-1.86916310006345,8.32353918484087,247.146506554567,1.11003804826698e-10,3.16691504730563e-08,"SL1344_2360","fadL"
"lpxO",2.54459655764507,7.53161248334935,244.330512213503,1.20338760505597e-10,3.16691504730563e-08,"SL1344_4223","lpxO"
"dacC",1.78224532918468,6.99950423167484,234.086238007133,1.62661764905724e-10,4.05541463346534e-08,"SL1344_0839","dacC"
"rpoE",2.83770864238785,8.43034698580818,231.853289411636,1.73992495717461e-10,4.12101226106807e-08,"SL1344_2604","rpoE"
"yraO",1.66602523984294,7.79147436389586,229.372587517814,1.87643530594867e-10,4.23270192584708e-08,"SL1344_3239","yraO"
"pdgL",2.63002668344921,6.86684218600156,220.178079976402,2.4997883444218e-10,5.38249881251185e-08,"SL1344_1530","pdgL"
"steA",3.35940071309587,8.80085047863407,214.928205797245,2.95967022707557e-10,6.09563385463348e-08,"SL1344_1514","steA"
"rseA",3.1085067163137,8.4380983870847,211.037699349863,3.36269088805291e-10,6.63711114029444e-08,"SL1344_2603","rseA"
"yfcG",2.28480590334099,5.63096855020067,207.778447803077,3.7486749532407e-10,7.10298930140047e-08,"SL1344_2318","yfcG"
