"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"fadL",-3.05098916445015,8.32353918484087,598.417638491457,1.94390932407682e-13,8.99238509648814e-10,"SL1344_2360","fadL"
"cpxP",3.02919529313617,6.58131634857265,545.767567616595,3.79665826324178e-13,8.99238509648814e-10,"SL1344_4009","cpxP"
"ompF",-4.2392130759039,8.66975399218805,452.462555554242,1.47615070927079e-12,2.33084196993858e-09,"SL1344_0936","ompF"
"htrA",4.21519913800816,9.94609821495518,411.279396603617,2.93813425623456e-12,2.7584180981355e-09,"SL1344_0210","htrA"
"SL1344_1190",6.77677731366949,9.70100797197683,418.457949584449,2.59379198418171e-12,2.7584180981355e-09,"SL1344_1190","SL1344_1190"
"cdh-a",2.26113777852603,9.54954526568954,401.500451377504,3.49387979497846e-12,2.7584180981355e-09,"SL1344_4013","cdh-a"
"mdoB",2.18915559911798,10.0657157996672,389.603551213734,4.33774494262782e-12,2.93541397046114e-09,"SL1344_4472","mdoB"
"SL1344_3560",3.06066403897402,7.43158307853652,368.083057693328,6.52355226060455e-12,3.86275838231047e-09,"SL1344_3560","SL1344_3560"
"phoN",3.83022636394424,9.38195437282659,334.918487332153,1.28278665695554e-11,6.7517337711093e-09,"SL1344_4255","phoN"
"SL1344_1189",3.74376446534762,6.9736750020793,327.453307395892,1.50696704189025e-11,7.13850287743412e-09,"SL1344_1189","SL1344_1189"
"rna",1.85326737949745,8.327530458525,304.615330059222,2.52350421155209e-11,9.96153287510186e-09,"SL1344_0605","rna"
"dacC",2.05575002320984,6.99950423167484,307.445027544389,2.36268566159487e-11,9.96153287510186e-09,"SL1344_0839","dacC"
"ompD",-3.28145890387421,10.6230369820836,299.980793344791,2.81446519773635e-11,1.02554781859055e-08,"SL1344_1503","ompD"
"ompA",-2.04086571152325,12.8532848391097,287.002407172057,3.85416045461222e-11,1.30408271953558e-08,"SL1344_1010","ompA"
"phnO",3.22214883039578,6.10634200200727,279.983537020471,4.59455506444913e-11,1.45096048935303e-08,"SL1344_4224","phnO"
"virK",5.04428856100545,11.5445075010839,262.398270004366,7.40295597527902e-11,2.06281190911157e-08,"SL1344_2764","virK"
"ygiM",2.74939209798816,7.90228946969962,262.39763297898,7.27365717872031e-11,2.06281190911157e-08,"SL1344_3176","ygiM"
"yaiB",3.15469163739012,8.4518771367052,251.83509679283,9.72257865655876e-11,2.55865861645105e-08,"SL1344_0378","yaiB"
"yfcG",2.45544667040211,5.63096855020067,239.269709488913,1.39444039894527e-10,3.47656008937039e-08,"SL1344_2318","yfcG"
"ompC",-2.35989728631108,11.7391388271255,237.488228262835,1.46971052021759e-10,3.48100936713537e-08,"SL1344_2237","ompC"
"yraO",1.68578926957242,7.79147436389586,234.793781386513,1.59247881878218e-10,3.59217722122438e-08,"SL1344_3239","yraO"
"pmrD",2.86191026913676,7.59488357319515,231.171771347555,1.77627144940858e-10,3.82463538902201e-08,"SL1344_2273","pmrD"
"yjeH",2.26754626220957,7.05764987180443,227.280993119782,2.00102420098952e-10,4.12123984351623e-08,"SL1344_4265","yjeH"
"pagN",4.20848706062183,7.76253951513557,222.181599983622,2.34610320044031e-10,4.27441956172528e-08,"SL1344_0302","pagN"
"pdgL",2.64433745978492,6.86684218600156,222.698702783993,2.30819724805471e-10,4.27441956172528e-08,"SL1344_1530","pdgL"
"yfiA",3.19710324602416,7.03625809968163,224.044388866097,2.21276637647798e-10,4.27441956172528e-08,"SL1344_2624","yfiA"
"yebE",1.70351791132177,5.8807112703431,214.286044208281,3.02224390320843e-10,5.12248204261269e-08,"SL1344_1814","yebE"
"rpoE",2.7139633127674,8.43034698580818,214.229197218249,3.02785512335139e-10,5.12248204261269e-08,"SL1344_2604","rpoE"
"steA",3.26108925997529,8.80085047863407,204.287996215032,4.21882815919629e-10,6.83284186413149e-08,"SL1344_1514","steA"
"lpxO",2.30298301613944,7.53161248334935,203.545101346304,4.32732226987428e-10,6.83284186413149e-08,"SL1344_4223","lpxO"
"mig-14",3.7046644329448,10.2948703793076,201.95490428697,4.57036654956096e-10,6.98381495008719e-08,"SL1344_2765","mig-14"
"rseA",3.02193927712257,8.4380983870847,200.938886065497,4.73375312199283e-10,7.00743391840001e-08,"SL1344_2603","rseA"
"rbn",1.8956380909897,7.28117659305754,191.995924402145,6.4964275338361e-10,9.3253264326611e-08,"SL1344_3973","rbn"
"dacD",1.6667207505393,7.04381013212438,190.887815246209,6.76273670595693e-10,9.42208346356411e-08,"SL1344_2038","dacD"
"gst",1.7651882450898,8.01567767516024,189.865741674109,7.01939338026352e-10,9.50024755494523e-08,"SL1344_1383","gst"
"marR",2.33823906513644,6.0414055892327,187.874911206883,7.55169085412927e-10,9.93676654889176e-08,"SL1344_1450","marR"
"yhjJ",1.63708455048185,7.89043646523756,186.516562253615,7.94115956273704e-10,1.01668304996447e-07,"SL1344_3578","yhjJ"
"StyR-3",2.81228674341142,5.05688278764561,185.015419653848,8.39831876951909e-10,1.04691673713716e-07,"StyR-3","StyR-3"
"SL1344_1025",1.65899269018068,8.0758616754247,182.58104012787,9.20461574354482e-10,1.11800678915825e-07,"SL1344_1025","SL1344_1025"
"ybiJ",3.7002118729428,7.91005726243627,181.27760434752,9.67221846509611e-10,1.14543247172901e-07,"SL1344_0799","ybiJ"
"ydcR",1.79067617953753,7.04344307383435,178.706329152083,1.06758862368261e-09,1.22043919857359e-07,"SL1344_1529","ydcR"
"SL1344_2272",2.68486613354497,6.61472951267251,178.357673140973,1.08208668651236e-09,1.22043919857359e-07,"SL1344_2272","SL1344_2272"
"SL1344_1243",2.69270033307804,4.58829331213031,176.991171492386,1.14110310289641e-09,1.25707102288844e-07,"SL1344_1243","SL1344_1243"
"chaA",1.91210951626871,7.95523386728381,175.479788479751,1.2106706357344e-09,1.30339700033497e-07,"SL1344_1699","chaA"
"yjdB",1.94684390908819,8.86190395448033,172.349008462312,1.3706419130026e-09,1.44282905375407e-07,"SL1344_4230","yjdB"
"ybjY",1.65884974081156,7.71827937803928,170.877474611439,1.45402219950333e-09,1.4654687572441e-07,"SL1344_0880","ybjY"
"fkpA",1.63712958261248,10.5432392586458,171.026543682661,1.44531884453654e-09,1.4654687572441e-07,"SL1344_3420","fkpA"
"sodCa",2.63065290590433,8.35221569707809,170.247895987224,1.4914416673376e-09,1.47186649545379e-07,"SL1344_0983","sodCa"
"ypfG",1.95680931046451,4.10773719641582,165.824802701145,1.78737046846777e-09,1.72791304267997e-07,"SL1344_2439","ypfG"
