"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"cdh-a",2.2562291577354,9.54954526568954,399.793152654342,3.60267249556564e-12,1.70658596114944e-08,"SL1344_4013","cdh-a"
"mdoB",2.10248883438037,10.0657157996672,361.484560976915,7.4272304517313e-12,1.75913953249256e-08,"SL1344_4472","mdoB"
"SL1344_3560",2.85394865773627,7.43158307853652,324.638315719534,1.60279628668191e-11,2.53081533667074e-08,"SL1344_3560","SL1344_3560"
"phoN",3.5482366102271,9.38195437282659,294.646323492202,3.19756254055951e-11,3.7867134386576e-08,"SL1344_4255","phoN"
"rna",1.69067530151286,8.327530458525,255.671303965487,8.73854461022106e-11,7.04205009445247e-08,"SL1344_0605","rna"
"virK",4.95788906018849,11.5445075010839,255.559848098775,8.91963279854651e-11,7.04205009445247e-08,"SL1344_2764","virK"
"SL1344_1189",3.03559688195265,6.9736750020793,226.971152039751,2.02026666501e-10,1.19625039901904e-07,"SL1344_1189","SL1344_1189"
"SL1344_1190",4.55943481539924,9.70100797197683,230.866497030519,1.7928309554622e-10,1.19625039901904e-07,"SL1344_1190","SL1344_1190"
"ydiR",2.22794134102544,4.96239206127259,215.778289938821,2.87908377567169e-10,1.5153577605952e-07,"SL1344_1287","ydiR"
"phnO",2.77269448792411,6.10634200200727,211.741651834081,3.28536942299722e-10,1.55627949567378e-07,"SL1344_4224","phnO"
"yjdB",2.15008556945571,8.86190395448033,207.330685745181,3.80552953606891e-10,1.63879940112349e-07,"SL1344_4230","yjdB"
"gst",1.8243213150012,8.01567767516024,201.943875672772,4.57210537420045e-10,1.80483859646563e-07,"SL1344_1383","gst"
"yaiB",2.70087802268622,8.4518771367052,191.313269097072,6.65905034611595e-10,2.04087317265229e-07,"SL1344_0378","yaiB"
"pagC",3.0770306284426,7.16889448951257,187.155965028701,7.75505955409357e-10,2.04087317265229e-07,"SL1344_1184","pagC"
"aroQ",3.35452477539176,5.43955137545115,188.040469407928,7.505720596593e-10,2.04087317265229e-07,"SL1344_1204","aroQ"
"pmrD",2.60513833140336,7.59488357319515,194.835658133255,5.86659823254239e-10,2.04087317265229e-07,"SL1344_2273","pmrD"
"lrhA",2.06876379059383,7.38967216839779,188.860777171058,7.28257894156008e-10,2.04087317265229e-07,"SL1344_2299","lrhA"
"lpxO",2.24170300944769,7.53161248334935,193.336520323593,6.19000728527644e-10,2.04087317265229e-07,"SL1344_4223","lpxO"
"dacC",1.55247691711567,6.99950423167484,179.440858310985,1.03776019980365e-09,2.3687710959308e-07,"SL1344_0839","dacC"
"ais",2.10572865212032,5.40112477803501,180.675125494706,9.89741926630227e-10,2.3687710959308e-07,"SL1344_2265","ais"
"mig-14",3.44972160965988,10.2948703793076,179.133622343049,1.05012018185659e-09,2.3687710959308e-07,"SL1344_2765","mig-14"
"rlgA",1.59534805598359,8.99070889592296,176.059136494744,1.18345026541445e-09,2.54818359421285e-07,"SL1344_P1_0062","rlgA"
"ybjG",2.04890729384358,6.3074848532389,165.30225324788,1.8265391229191e-09,3.45733713894572e-07,"SL1344_0841","ybjG"
"steA",2.88051193322353,8.80085047863407,164.385516841503,1.89763068635399e-09,3.45733713894572e-07,"SL1344_1514","steA"
"pdgL",2.26076571147508,6.86684218600156,166.245845576313,1.756502787267e-09,3.45733713894572e-07,"SL1344_1530","pdgL"
"SL1344_2272",2.58959200399057,6.61472951267251,166.519153664724,1.73678964136863e-09,3.45733713894572e-07,"SL1344_2272","SL1344_2272"
"yfcG",2.0081061077202,5.63096855020067,161.826488968034,2.11327907087935e-09,3.70763072546499e-07,"SL1344_2318","yfcG"
"pagP",1.80130944944024,9.19962435580162,150.901105336098,3.40800361476464e-09,5.76561182969289e-07,"SL1344_0616","pagP"
"sodCa",2.43892604320256,8.35221569707809,148.303160586242,3.83598168896384e-09,6.18124248267788e-07,"SL1344_0983","sodCa"
"arnT",1.86109092843381,6.29199940701273,147.861443078149,3.91465641714875e-09,6.18124248267788e-07,"SL1344_2270","arnT"
"pagN",3.30440051084635,7.76253951513557,146.954529256784,4.08199335724464e-09,6.23754920427995e-07,"SL1344_0302","pagN"
"yjeH",1.75782617117909,7.05764987180443,140.151958035284,5.6310193051417e-09,8.33566826514258e-07,"SL1344_4265","yjeH"
"SL1344_1783",2.27157984009481,5.01520822569583,133.699939315666,7.74330059123708e-09,1.11151560305121e-06,"SL1344_1783","SL1344_1783"
"htrA",2.16648794100421,9.94609821495518,129.273657294599,9.71349425883984e-09,1.28412330112189e-06,"SL1344_0210","htrA"
"dacD",1.36440380517675,7.04381013212438,129.335920354622,9.6821015043186e-09,1.28412330112189e-06,"SL1344_2038","dacD"
"udg",2.71134338788247,6.90320526721277,129.183784024539,9.75901178813343e-09,1.28412330112189e-06,"SL1344_2057","udg"
"SL1344_P1_0061",2.17614236371983,10.387792061336,127.354975541475,1.07399066957302e-08,1.374998324802e-06,"SL1344_P1_0061","SL1344_P1_0061"
"phoP",1.42157940017176,9.96225572874715,125.830888434149,1.16433576596425e-08,1.45143645351912e-06,"SL1344_1169","phoP"
"ybiJ",2.97268877462185,7.91005726243627,124.238844198847,1.2680348795385e-08,1.54017467291637e-06,"SL1344_0799","ybiJ"
"SL1344_P1_0064",1.41310584639826,6.90673459695724,123.21433307431,1.34030032190661e-08,1.5872506562179e-06,"SL1344_P1_0064","SL1344_P1_0064"
"ydcR",1.46896564471335,7.04344307383435,121.823227969544,1.44602514078085e-08,1.63731112611303e-06,"SL1344_1529","ydcR"
"ygiM",1.81504817251913,7.90228946969962,121.751838401167,1.45170080845994e-08,1.63731112611303e-06,"SL1344_3176","ygiM"
"phoQ",1.3578274123522,8.92378687593353,120.89755476816,1.52161654352556e-08,1.67625524806525e-06,"SL1344_1168","phoQ"
"yehU",1.94951644949307,6.51417788168109,119.763207707018,1.62043446684144e-08,1.70577734876176e-06,"SL1344_2137","yehU"
"SL1344_4014",2.05245412392787,5.27183281436168,120.097540819249,1.5905722263335e-08,1.70577734876176e-06,"SL1344_4014","SL1344_4014"
"rseA",2.22987894406401,8.4380983870847,116.152448796007,1.98694191401687e-08,2.04611822754302e-06,"SL1344_2603","rseA"
"yfbG",2.3177170435757,8.0001475635145,113.02854562579,2.38126005113426e-08,2.35000601296312e-06,"SL1344_2268","yfbG"
"rpoE",1.91859999635564,8.43034698580818,113.180874091953,2.36008893770796e-08,2.35000601296312e-06,"SL1344_2604","rpoE"
"pagK",3.09877458310557,5.68965253147026,108.591954198139,3.10355526885125e-08,3.00031455276498e-06,"SL1344_1799","pagK"
