"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"fabF",-1.95109276139823,10.3278889192614,211.149839799801,3.35023640974881e-10,1.58700698729801e-06,"SL1344_1134","fabF"
"pmgI",-2.3685496911513,7.22262402345808,175.685842600805,1.20090872214197e-09,2.84435230839325e-06,"SL1344_3670","pmgI"
"acpP",-2.24273588974116,11.4234874166614,129.533047705447,9.58346722306624e-09,1.51322947452216e-05,"SL1344_1133","acpP"
"SL1344_3189",-1.25663215289856,8.29860326387255,104.699530159446,3.94719461798855e-08,4.67446522635294e-05,"SL1344_3189","SL1344_3189"
"dps",-1.46424040545613,6.71477343540302,80.0678428139624,2.23477621320242e-07,0.000211722698438797,"SL1344_0806","dps"
"gnd",-1.1322056804239,10.2631590341315,64.3928222576471,8.70379425537968e-07,0.000687164556462226,"SL1344_2058","gnd"
"cdh-a",0.815130907781843,9.54954526568954,56.1399536694393,1.99652828408406e-06,0.00135107921167231,"SL1344_4013","cdh-a"
"fabG",-0.742641870289321,10.2485970357173,51.1188454883083,3.47668042696363e-06,0.00197058802916663,"SL1344_1132","fabG"
"yjdB",1.03015972571958,8.86190395448033,50.4762549118082,3.74399245566808e-06,0.00197058802916663,"SL1344_4230","yjdB"
"yeaS",-0.967553212130574,6.80408263724548,48.2573694509796,4.86358999980718e-06,0.00230388258290866,"SL1344_1205","yeaS"
"rna",0.699126124227013,8.327530458525,45.3108049295564,6.98744145659338e-06,0.00300904637998935,"SL1344_0605","rna"
"marA",-1.52258299739488,6.69863922509044,43.6924373823877,8.59283511982298e-06,0.00313109692020011,"SL1344_1449","marA"
"ais",1.03488479982713,5.40112477803501,44.2430024914045,8.00383764323108e-06,0.00313109692020011,"SL1344_2265","ais"
"virK",1.77328841832574,11.5445075010839,42.6916247594692,9.85003257097831e-06,0.00333282887776602,"SL1344_2764","virK"
"mig-14",1.51958461741453,10.2948703793076,39.9720114545646,1.41466623742078e-05,0.00446751597777482,"SL1344_2765","mig-14"
"mdoB",0.661333712219021,10.0657157996672,38.3008809346692,1.79005647457143e-05,0.00529968595002804,"SL1344_4472","mdoB"
"kup",-0.827890437235824,7.07035456911197,36.7023225938692,2.25829934088587e-05,0.00629268469280963,"SL1344_3847","kup"
"marB",-1.4470976496693,5.33238984239027,35.3609042981972,2.76046255926678e-05,0.00726461730180375,"SL1344_1448","marB"
"aroQ",1.33622184225011,5.43955137545115,30.2773740093824,6.23442357416111e-05,0.0155434023530532,"SL1344_1204","aroQ"
"kdpF",1.18521487803208,4.32757307434003,29.569341354184,7.0360493309731e-05,0.01572605216636,"SL1344_0688A","kdpF"
"ydcY",-1.17087665446483,4.65898277064886,29.3531986138534,7.30363410723917e-05,0.01572605216636,"SL1344_1523","ydcY"
"arnT",0.821691312192175,6.29199940701273,29.5790253415596,7.02432377731803e-05,0.01572605216636,"SL1344_2270","arnT"
"pagC",1.1230290923255,7.16889448951257,27.2159697352152,0.000106760895152733,0.021988102623413,"SL1344_1184","pagC"
"upp",-0.743847190174419,8.41256691722037,26.6868256041639,0.000117647085931716,0.0222917698423416,"SL1344_2461","upp"
"pstB",-0.623276274556502,6.49655764486184,26.7135853196202,0.000117067189064666,0.0222917698423416,"SL1344_3821","pstB"
"yfbG",1.0839512191141,8.0001475635145,26.3310551410322,0.000125675328444166,0.0225262005346588,"SL1344_2268","yfbG"
"phoN",0.975887468751737,9.38195437282659,26.2163514037977,0.000128395063212115,0.0225262005346588,"SL1344_4255","phoN"
"yfbE",1.22226046873563,7.78983520801554,25.3110120244011,0.000152372169681261,0.024897558254043,"SL1344_2266","yfbE"
"basS",1.05673053100055,7.87962588984657,25.3092584738055,0.000152423303645186,0.024897558254043,"SL1344_4228","basS"
"pagP",0.718268662516105,9.19962435580162,25.1237984276759,0.000157943114243942,0.0249392177391185,"SL1344_0616","pagP"
"stbA",-0.841172425078456,7.97525472627707,24.8598832267583,0.000166194063782929,0.0253955251657979,"SL1344_P2_0021","stbA"
"phoR",-0.581751221997215,6.76182724230491,22.4417659821641,0.000269608499971076,0.0387010746776663,"SL1344_0393","phoR"
"yeiU",0.584983091850447,8.81849883328783,22.4562762088806,0.000268800705533405,0.0387010746776663,"SL1344_2190","yeiU"
"lpxO",0.741520821787403,7.53161248334935,22.2628392324591,0.000279799710682334,0.0389826832206535,"SL1344_4223","lpxO"
"tesB",-0.678573251637617,6.16999245278413,22.0934219778184,0.000289854667841469,0.0392297589018582,"SL1344_0458","tesB"
"gpmA",-0.836816373855786,10.4887537504447,20.5227246400065,0.000405490474712155,0.053355788297541,"SL1344_0749","gpmA"
"yciO",-0.672693338751835,6.23201896255573,19.0592921378395,0.00056253176833183,0.0685124740668494,"SL1344_1652","yciO"
"pmrF",1.0111918694751,7.24334413343555,19.0473805431504,0.000564067234242586,0.0685124740668494,"SL1344_2267","pmrF"
"basR",1.02286807593432,7.8142367116507,19.1817539756416,0.000547018504330333,0.0685124740668494,"SL1344_4229","basR"
"SL1344_2269",1.13055275015454,6.2233110692295,18.8006448721278,0.000596970446863475,0.070696225169807,"SL1344_2269","SL1344_2269"
"SL1344_P2_0022",-0.795848206895535,6.19183625362548,18.2178684300726,0.000683728452923553,0.0789956507682651,"SL1344_P2_0022","SL1344_P2_0022"
"ybjG",0.665389353063221,6.3074848532389,18.0151334349209,0.000717208835281967,0.0808909107793019,"SL1344_0841","ybjG"
"SL1344_3560",0.640938153402931,7.43158307853652,17.7831427413315,0.000757832004056981,0.0834848884469283,"SL1344_3560","SL1344_3560"
"pstS",-0.77569829503642,6.18503585280141,17.3920177420274,0.000832396168711856,0.0896150147997287,"SL1344_3824","pstS"
"ydiR",0.641566143481192,4.96239206127259,16.9228015722838,0.00093310997490459,0.0982253766916232,"SL1344_1287","ydiR"
"asr",0.824798513461939,4.23619750645704,16.4551789450575,0.00104751439699623,0.107871210838503,"SL1344_1415","asr"
"yeeY",-0.611752203658549,4.20956392604189,15.5684335121137,0.00131122239958288,0.132154478868598,"SL1344_2046","yeeY"
"putA",-1.09750614799801,7.09453859518926,15.1722900202771,0.00145292850608789,0.143385881944548,"SL1344_1062","putA"
"pmrD",0.699734449712398,7.59488357319515,15.0569721475726,0.00149740278842941,0.14475912262837,"SL1344_2273","pmrD"
"ybgF",-0.424555750306487,8.31736112317612,14.596666781673,0.00169107215572804,0.160212176033675,"SL1344_0732","ybgF"
"kdpA",1.39037786464642,7.87666578010447,14.7775813108355,0.00174437964204724,0.162022085576035,"SL1344_0688","kdpA"
"SL1344_0553",-1.2859947035643,0.726823586202449,13.9451981199048,0.00201600622951666,0.183650413638854,"SL1344_0553","SL1344_0553"
"rstA",0.409815635901787,8.49771424030953,13.3284591086245,0.00239071261786702,0.21367557869502,"SL1344_1405","rstA"
"SL1344_P1_0064",0.455352311555446,6.90673459695724,12.9708267029474,0.00264414866927224,0.231950597154493,"SL1344_P1_0064","SL1344_P1_0064"
"fdrA",-0.929252980685661,2.48319896854438,12.7161551280129,0.00284334584983909,0.244889623467051,"SL1344_0522","fdrA"
"ompR",0.513266290327542,7.91517782570903,11.9964771437705,0.00350559123338734,0.296535458438497,"SL1344_3469","ompR"
"citX2",-1.05936763052583,1.36471979297439,11.9198143613481,0.00358598604908178,0.29801431428948,"SL1344_0063","citX2"
"udg",0.787356294487984,6.90320526721277,11.7008652156919,0.00382744133579044,0.311436708774247,"SL1344_2057","udg"
