"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"SL1344_1198",6.16406179099756,11.4920437234158,139.972799303176,1.35546609826463e-08,6.42084290747954e-05,"SL1344_1198","SL1344_1198"
"virK",2.49344960167043,11.5445075010839,80.4606000664756,2.18651101456683e-07,0.000517875133800154,"SL1344_2764","virK"
"rpmE2",7.03349571012993,11.214053170114,78.6250356752834,4.6351043414292e-07,0.000731882975511671,"SL1344_0462","rpmE2"
"mig-14",1.89634144837264,10.2948703793076,60.9961941595962,1.21132261447605e-06,0.00143450880619326,"SL1344_2765","mig-14"
"rpmJa",5.92169482702743,9.04755780966658,54.8152061617647,3.69874897953382e-06,0.00292016231934195,"SL1344_0463","rpmJa"
"cdh-a",0.785020820750392,9.54954526568954,52.1414793202844,3.09472244191289e-06,0.00292016231934195,"SL1344_4013","cdh-a"
"mdoB",0.747409676629679,10.0657157996672,48.8368969932136,4.53829045138401e-06,0.00307112598117229,"SL1344_4472","mdoB"
"phoN",1.29834236852798,9.38195437282659,45.9797254020151,6.42559800032652e-06,0.00380475721594334,"SL1344_4255","phoN"
"ahpF",-0.928378577548023,8.81418923272642,43.0460473927041,9.34810032390784e-06,0.00492021680381683,"SL1344_0597","ahpF"
"pmrD",1.16469292769706,7.59488357319515,41.6495385513785,1.12517107280113e-05,0.00532993537185895,"SL1344_2273","pmrD"
"rna",0.642412782819558,8.327530458525,38.3422557761825,1.77949361102653e-05,0.00638168468556564,"SL1344_0605","rna"
"pagP",0.888255771772474,9.19962435580162,38.2692350280487,1.79818362219014e-05,0.00638168468556564,"SL1344_0616","pagP"
"phoP",0.776590661365552,9.96225572874715,38.5230731779369,1.7341542038323e-05,0.00638168468556564,"SL1344_1169","phoP"
"lpxO",0.967976182911064,7.53161248334935,37.9370140556353,1.88607949330629e-05,0.00638168468556564,"SL1344_4223","lpxO"
"pagC",1.27648193162084,7.16889448951257,35.195392826884,2.83078700974808e-05,0.0083808987907354,"SL1344_1184","pagC"
"steA",1.26988031962096,8.80085047863407,35.2460989655458,2.80902854020921e-05,0.0083808987907354,"SL1344_1514","steA"
"SL1344_1602",1.24244017850543,8.1166407282276,33.1098330968038,3.91616357539237e-05,0.0109122746215492,"SL1344_1602","SL1344_1602"
"pagN",1.48858675224999,7.76253951513557,32.6806743423182,4.19421510455913e-05,0.0110377760834981,"SL1344_0302","pagN"
"phoQ",0.690476306816439,8.92378687593353,32.0022972641774,4.68071495840185e-05,0.0116697614515524,"SL1344_1168","phoQ"
"pdgL",0.953742064082308,6.86684218600156,30.8229371546943,5.68719821252592e-05,0.0134701289663676,"SL1344_1530","pdgL"
"gst",0.688140615809451,8.01567767516024,29.9873793528309,6.5495024617544e-05,0.0147738062673003,"SL1344_1383","gst"
"yeiU",0.646799139026133,8.81849883328783,27.4374059101554,0.00010254850461402,0.0220805575616643,"SL1344_2190","yeiU"
"sodCa",1.00581462850741,8.35221569707809,27.1251820915675,0.000108544507591136,0.0221827472979185,"SL1344_0983","sodCa"
"SL1344_P1_0061",0.968482915467088,10.387792061336,26.9351366270622,0.000112388840014786,0.0221827472979185,"SL1344_P1_0061","SL1344_P1_0061"
"ydiR",0.790727172020272,4.96239206127259,26.305711517481,0.000126270570515474,0.0230055266358384,"SL1344_1287","ydiR"
"pagK",1.51954263857937,5.68965253147026,26.3454398869353,0.000125338894524553,0.0230055266358384,"SL1344_1799","pagK"
"SL1344_2272",0.974173205703494,6.61472951267251,24.7007974998016,0.000171403885927173,0.0300718595421118,"SL1344_2272","SL1344_2272"
"znuA",3.51141628510359,10.6673274078695,23.5104648133428,0.000270865291680999,0.0458246030961748,"SL1344_1825","znuA"
"orgB",1.12523901229479,9.1764919476841,22.0508336583298,0.000292446491609995,0.0477696217502258,"SL1344_2849","orgB"
"aroQ",1.03369746223639,5.43955137545115,18.0056690281309,0.000718816817686668,0.113501175512725,"SL1344_1204","aroQ"
"rlgA",0.497712298408372,8.99070889592296,17.8166019052798,0.000751814578248483,0.114882117973002,"SL1344_P1_0062","rlgA"
"phnO",0.793772881575786,6.10634200200727,17.6094759250471,0.000789959223245936,0.116938651266125,"SL1344_4224","phnO"
"SL1344_3560",0.619700727499964,7.43158307853652,16.6873057965457,0.000988841635762044,0.141943722078933,"SL1344_3560","SL1344_3560"
"fepA",2.0391820395781,11.3150505417073,16.8865012837352,0.00109998815617797,0.148875539880429,"SL1344_0573","fepA"
"SL1344_1517",1.68441550306512,9.86137343486698,16.9626854251684,0.00108047654142329,0.148875539880429,"SL1344_1517","SL1344_1517"
"orgC",1.01013560734794,7.74671407509879,15.9834099448997,0.00117940275836839,0.15099542882138,"SL1344_2848","orgC"
"yjeH",0.586820563627658,7.05764987180443,16.0521184838431,0.00115906664919476,0.15099542882138,"SL1344_4265","yjeH"
"aadA",1.58269251450542,5.40169004259834,15.3287004995142,0.0014972725174815,0.186646839876576,"SL1344_1199","aadA"
"katG",-0.594634826121757,6.59678379873088,14.6604864887403,0.00166258774154716,0.201940464915612,"SL1344_4056","katG"
"ybdB",1.71888010270621,7.49797947198766,15.0227057878044,0.00173115271916809,0.205011760767481,"SL1344_0587","ybdB"
"slyB",0.706975176726865,10.4319231001572,14.3604876889573,0.00180143178094282,0.208131276739661,"SL1344_1377","slyB"
"yebA",2.06616157729027,9.23599755712511,14.4015733619259,0.00202800146068688,0.220608283451812,"SL1344_1824","yebA"
"SL1344_1956",-0.783553797136436,3.85538886216663,14.024050053505,0.00197311597978489,0.220608283451812,"SL1344_1956","SL1344_1956"
"fumB",-0.639359982771683,4.74414001516551,13.885585820451,0.00204913752836811,0.220608283451812,"SL1344_4237","fumB"
"yaiB",0.688317242736974,8.4518771367052,13.7183479860689,0.00214544900319307,0.225844265069457,"SL1344_0378","yaiB"
"AmgR",1.2413927526733,5.59848358602616,13.5207780019233,0.00230120261465097,0.236973843165253,"AmgR","AmgR"
"SL1344_1783",0.730146102675698,5.01520822569583,13.1320479766311,0.00252628636601384,0.254617415229948,"SL1344_1783","SL1344_1783"
"yobF",0.652623055237051,8.91031052056355,12.4774332579427,0.00304575265818965,0.294443476364171,"SL1344_1767","yobF"
"SL1344_1794",1.57458118688478,3.66762677911512,12.5046352987312,0.00302187760191378,0.294443476364171,"SL1344_1794","SL1344_1794"
"cirA",2.61919374265153,10.5270739565696,12.6710718727424,0.00321894299967971,0.304962659789656,"SL1344_2176","cirA"
"SL1344_1795",1.16368433710368,4.95297218207249,11.8317819693219,0.00368091339728811,0.335317053133727,"SL1344_1795","SL1344_1795"
"SL1344_2549",1.27225793125325,2.41346010701548,11.8598846023193,0.00365030126833851,0.335317053133727,"SL1344_2549","SL1344_2549"
"SL1344_0869",0.385146467602272,6.12862446048206,11.3439254809511,0.00426201122160499,0.380927304844205,"SL1344_0869","SL1344_0869"
"gogB",0.778281627036071,5.7397962539588,11.200133145007,0.00445281199513124,0.390610563350679,"SL1344_2546","gogB"
"SL1344_0082",0.935317288079362,6.28447734856805,11.0684254690386,0.00463618483467628,0.392928610900947,"SL1344_0082","SL1344_0082"
"ssrB",0.816094213797917,4.47675442443277,11.0211856023541,0.00470404755779735,0.392928610900947,"SL1344_1325","ssrB"
"marR",0.554921003788472,6.0414055892327,10.9482728063148,0.00481103217907008,0.392928610900947,"SL1344_1450","marR"
"fdx",-0.406924589835492,8.65309607170639,10.9505491442743,0.00480765033511669,0.392928610900947,"SL1344_2500","fdx"
"pagO",1.20334041394645,5.67553905862438,10.8557668977352,0.0049544128373761,0.395574195043166,"SL1344_1793","pagO"
"yfcG",0.522754871824551,5.63096855020067,10.8171924632704,0.00501043945589824,0.395574195043166,"SL1344_2318","yfcG"
"SL1344_2574",2.11677972663301,5.33182888660046,11.0490750165037,0.00512299220082918,0.397829738611931,"SL1344_2574","SL1344_2574"
"fhuE",2.33530028111161,9.2073133941674,10.8054293255569,0.00550961931201257,0.420952688403283,"SL1344_1141","fhuE"
"SL1344_1872",0.757996247617096,7.15304236923765,10.4605345700362,0.00560264682894752,0.421265682995625,"SL1344_1872","SL1344_1872"
"entA",1.53544919514591,8.18384602507521,10.6868493987759,0.00570991071322854,0.422622610133806,"SL1344_0586","entA"
"tsaA",-0.341414765210603,9.69088297679733,10.1398381349999,0.00620433546547208,0.438655777611064,"SL1344_0397","tsaA"
"yehE",-0.635116960276945,5.60117546756166,10.1513282856644,0.00618153975038174,0.438655777611064,"SL1344_2130","yehE"
"yjiS",2.81755285058593,0.748237538019579,10.2139550079694,0.00605896480454295,0.438655777611064,"SL1344_4452","yjiS"
"ybjX",0.586879787087587,10.2632503948501,9.97273194811508,0.00654698264645747,0.449493752590716,"SL1344_0879","ybjX"
"rstA",0.354240922936122,8.49771424030953,9.97253105219519,0.00654740741582423,0.449493752590716,"SL1344_1405","rstA"
"soxS",0.434108198023775,5.73497683991359,9.88120359377015,0.00674381725304621,0.456363747538285,"SL1344_4201","soxS"
"SL1344_2710",0.5852369860637,4.99698152591675,9.59800682934675,0.00739714178717338,0.493524797828737,"SL1344_2710","SL1344_2710"
"cstAa",1.16929773255976,7.49654397565419,9.68526580111295,0.00753420541806914,0.495687931463799,"SL1344_0588","cstAa"
"SL1344_1025",0.367041238555288,8.0758616754247,9.29644253437869,0.00817390189951129,0.5232401797025,"SL1344_1025","SL1344_1025"
"SL1344_4014",0.576027973381919,5.27183281436168,9.31965712608554,0.00811089120388908,0.5232401797025,"SL1344_4014","SL1344_4014"
"SL1344_2438",0.590669657050127,6.09275611247644,9.24024385080717,0.00832877732304769,0.526045575723692,"SL1344_2438","SL1344_2438"
"znuB",0.933391675415837,5.89204470808529,8.90991079866763,0.00939780040396169,0.578147798877487,"SL1344_1827","znuB"
"fdoI",-0.593889026797611,7.38201628673036,8.90898133610855,0.0093130744709458,0.578147798877487,"SL1344_3982","fdoI"
"nrdF",1.3264784093006,8.29022273988576,8.86700873979005,0.0101417053916162,0.615913569744691,"SL1344_2793","nrdF"
"chaA",0.411587636549004,7.95523386728381,8.57258922537021,0.0104516668200722,0.626703110464327,"SL1344_1699","chaA"
"znuC",1.10051664028119,6.12065989616711,8.61420776383372,0.0107267685956522,0.635158785470053,"SL1344_1826","znuC"
"yehT",0.593077436620742,5.50814505282673,8.38191814616853,0.011167666908068,0.641401110240806,"SL1344_2136","yehT"
"SL1344_2562",0.770339590562777,2.49095590056235,8.40533722539025,0.0110767582615415,0.641401110240806,"SL1344_2562","SL1344_2562"
"treR",-0.456400958164772,3.65009616908236,8.36384791760485,0.011238398173947,0.641401110240806,"SL1344_4386","treR"
"ydcW",0.547654442803334,6.20393746045994,8.31694560877194,0.011424398894203,0.644254494783805,"SL1344_1528","ydcW"
"sbmA",0.385365611085407,7.23120467890699,8.12957868252948,0.0122035810191537,0.649532171772258,"SL1344_0371","sbmA"
"entB",1.51874676548035,8.99677732560376,8.43738300543624,0.0117069990245282,0.649532171772258,"SL1344_0585","entB"
"SL1344_1874",0.836112137129962,3.79257199012593,8.21041186668705,0.011860171295511,0.649532171772258,"SL1344_1874","SL1344_1874"
"yjdB",0.411778969944766,8.86190395448033,8.18505376418493,0.0119666923758695,0.649532171772258,"SL1344_4230","yjdB"
"nuc",0.640809268632846,3.02996173963667,8.14909893722252,0.0121196167722789,0.649532171772258,"SL1344_P2_0072","nuc"
"ytfK",0.623234251969371,7.48647310023778,8.05941337600042,0.0125109586744989,0.658493458234461,"SL1344_4339","ytfK"
"ugtL",0.751198056317651,2.92118099986177,7.89928103850028,0.0132463915098587,0.682316054071349,"SL1344_1531","ugtL"
"yihX",0.417981746912944,8.11007467759855,7.89817266791161,0.01325165230622,0.682316054071349,"SL1344_3972","yihX"
"thiE",-0.719339071928938,2.49003323930457,7.75828509080751,0.0139353321924762,0.709802888126451,"SL1344_4102","thiE"
"gyrI",0.4257763136873,5.35801613248772,7.702897033431,0.0142171831398345,0.716455282270169,"SL1344_2037","gyrI"
"dps",-0.440442783762504,6.71477343540302,7.65556195810493,0.0144632624027561,0.721183936861636,"SL1344_0806","dps"
"dacD",0.32724155136899,7.04381013212438,7.56385244728256,0.014954113177368,0.722833001236657,"SL1344_2038","dacD"
"pipB2",0.80704003581802,7.18047609562098,7.56677209518734,0.0149381939799846,0.722833001236657,"SL1344_2763","pipB2"
"mrr",-0.348312304497009,5.63252089267499,7.56444438664006,0.0149508840874695,0.722833001236657,"SL1344_4458","mrr"
"hilC",0.662189475894956,7.22604011477568,7.33884972999503,0.0162418224355137,0.777146594717461,"SL1344_2847","hilC"
"yfaE",-0.406830609859326,5.17601360899197,7.29776043117092,0.0164905372281804,0.781156748498906,"SL1344_2248","yfaE"
"rbn",0.360762506923632,7.28117659305754,7.24090702928255,0.0168419444137676,0.789903868198189,"SL1344_3973","rbn"
"entE",1.42722066019932,9.48132356555217,7.25099566376443,0.017717644761049,0.822132281942156,"SL1344_0584","entE"
"rpmE",-0.394518070127518,9.7312914165972,7.08119698615886,0.0178762138568803,0.822132281942156,"SL1344_4045","rpmE"
"marA",0.574510232441003,6.69863922509044,6.98298472410553,0.0185485605071705,0.83962455738535,"SL1344_1449","marA"
"SL1344_P1_0064",0.333480677529725,6.90673459695724,6.97406471946922,0.0186110573201313,0.83962455738535,"SL1344_P1_0064","SL1344_P1_0064"
"avrA",1.20812278212653,7.70807427916635,7.01052579124341,0.0193376065237003,0.864172095309137,"SL1344_2845","avrA"
"SL1344_3130",-0.305973407678384,5.03625844870513,6.82222060294487,0.0197131149131108,0.872719863022483,"SL1344_3130","SL1344_3130"
"sRNA10",0.45126512673591,4.98289595661153,6.65814268021711,0.0209895899001531,0.92062673478727,"sRNA10","sRNA10"
"cspE",0.5163710111775,10.2532562966833,6.50545478285111,0.0222639072375545,0.967560812699959,"SL1344_0617","cspE"
"thrL",0.255835920194942,6.34775201746228,1.71923270649317,0.209648180291462,0.999619875488454,"SL1344_0001","thrL"
