"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"sey01501",20,"Up",9.26636860915313e-09,1.27875886806313e-06,3.71821962407665e-14,1.71038102707526e-12,"beta-Lactam resistance"
"SlyA",8,"Up",8.89048834719098e-08,6.10134899042023e-06,8.79395624819659e-06,1.66241912637141e-05,"SlyA"
"sey01503",36,"Up",1.32638021530875e-07,6.10134899042023e-06,1.40160383376028e-14,1.38947179504322e-12,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",18,"Up",4.10576206095785e-07,1.41648791103046e-05,7.47043982072082e-08,2.71294919805125e-07,"PhoPQ"
"CpxR",33,"Up",1.01884823596105e-06,2.8120211312525e-05,9.25418541457173e-12,1.71373671791198e-10,"CpxR"
"PmrAB",17,"Up",2.52754182337936e-06,5.81334619377254e-05,2.83653693645279e-10,2.44651310769053e-09,"PmrAB"
"sey00660",16,"Up",4.50114973334099e-06,7.83426284004299e-05,2.02452005788983e-08,9.01237961254181e-08,"C5-Branched dibasic acid metabolism"
"sey03250",1,"Up",4.54160164640173e-06,7.83426284004299e-05,4.54160164640173e-06,8.95344324576342e-06,"Viral life cycle - HIV-1"
"sey00500",36,"Up",7.35002300849666e-06,0.000112700352796949,6.47174791551915e-08,2.48083670094901e-07,"Starch and sucrose metabolism"
"sey00633",8,"Up",1.11674291890319e-05,0.000142289126938853,2.03352703067658e-06,4.52623758440916e-06,"Nitrotoluene degradation"
"sey00440",3,"Up",1.13418869299086e-05,0.000142289126938853,0.0182406291176777,0.0226775389030587,"Phosphonate and phosphinate metabolism"
"sey00290",20,"Up",1.28896733814603e-05,0.000148231243886793,4.20776437832352e-07,1.07531756334934e-06,"Valine, leucine and isoleucine biosynthesis"
"sey00310",18,"Up",1.89171983538518e-05,0.000200813336371658,1.77589658628577e-07,5.3276897588573e-07,"Lysine degradation"
