"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PmrAB",17,"Up",5.13525615587325e-06,0.000708665349510509,1.53643112411724e-07,3.53379158546966e-06,"PmrAB"
"sey01503",36,"Up",6.66865256582098e-05,0.00460137027041648,1.35834942543308e-05,0.000267788886728236,"Cationic antimicrobial peptide (CAMP) resistance"
"SlyA",8,"Up",0.000923477619523535,0.0424799704980826,0.00378275652409126,0.0372871714517567,"SlyA"
"sey00540",40,"Up",0.0017213516310396,0.0593866312708661,0.00244618725554352,0.0306885310240914,"Lipopolysaccharide biosynthesis"
"CpxR",33,"Up",0.0032091728892763,0.0739783210440082,0.00945220321449555,0.0767296496235521,"CpxR"
"PhoPQ",18,"Up",0.00352309042684812,0.0739783210440082,0.00031937127941877,0.00550915456997378,"PhoPQ"
"sey01501",20,"Up",0.00375252353121781,0.0739783210440082,0.034400556654941,0.226060800875327,"beta-Lactam resistance"
"sey00633",8,"Up",0.0114745195158098,0.188210689040624,0.183548358454559,0.624734217800509,"Nitrotoluene degradation"
"sey03250",1,"Up",0.0122746101548233,0.188210689040624,0.0122746101548233,0.0891524316508221,"Viral life cycle - HIV-1"
"sey00552",3,"Up",0.0150189088983122,0.202499015110056,0.285229392513356,0.631514969000596,"Teichoic acid biosynthesis"
"sey00410",9,"Up",0.0169486122986199,0.202499015110056,0.162761063662647,0.607054777985007,"beta-Alanine metabolism"
"OxyR",42,"Down",0.0176086100095701,0.202499015110056,0.00456822661397929,0.0420276848486095,"OxyR"
"sey02020",184,"Up",0.0256236182529278,0.272004562992618,0.00358192556397223,0.0372871714517567,"Two-component system"
"sey01220",14,"Down",0.0348936009113462,0.34395120898327,0.221315349195019,0.627352641552195,"Degradation of aromatic compounds"
"sey00627",6,"Down",0.0556506799736182,0.511986255757287,0.889454635043927,0.979476584930445,"Aminobenzoate degradation"
"sey00740",17,"Up",0.0684748519175395,0.590595597788779,0.0638177602991539,0.326179663751231,"Riboflavin metabolism"
"sey01250",49,"Up",0.0873060993802013,0.698929953373384,0.111206425043442,0.451367254588088,"Biosynthesis of nucleotide sugars"
"CRP",231,"Up",0.0914653850267026,0.698929953373384,0.194663560618999,0.624734217800509,"CRP"
"sey00564",28,"Up",0.0962294863340166,0.698929953373384,0.0407546949228208,0.244528169536925,"Glycerophospholipid metabolism"
"sey00550",26,"Up",0.106296474766911,0.705872195252766,0.0980464879764397,0.410012586083293,"Peptidoglycan biosynthesis"
