"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"PhoPQ",18,"Up",0.000355645034238579,0.0490790147249239,8.60703633833503e-05,0.0118777101469023,"PhoPQ"
"SlyA",8,"Up",0.00137532468089816,0.0948974029819733,0.015316569937435,0.528421662841508,"SlyA"
"PmrAB",17,"Up",0.00255274610579962,0.117426320866782,0.000459300312460028,0.0214905821601327,"PmrAB"
"sey01503",36,"Up",0.00667514589294362,0.230292533306555,0.000467186568698537,0.0214905821601327,"Cationic antimicrobial peptide (CAMP) resistance"
"sey00540",40,"Up",0.0140309407299915,0.387253964147765,0.0355735562364834,0.559272942178406,"Lipopolysaccharide biosynthesis"
"sey00920",38,"Down",0.0197375545458959,0.453963754555606,0.227263992499465,1,"Sulfur metabolism"
"sey03250",1,"Up",0.0335081308868823,0.660588866055679,0.0335081308868823,0.559272942178406,"Viral life cycle - HIV-1"
"CpxR",33,"Up",0.039743146180681,0.685569271616747,0.0713064506511326,0.894571835441482,"CpxR"
"sey00440",3,"Up",0.0525658754201634,0.782296319681263,0.514498964922668,1,"Phosphonate and phosphinate metabolism"
"sey02030",23,"Down",0.0566881391073379,0.782296319681263,0.202190223461831,1,"Bacterial chemotaxis"
"FNR",10,"Up",0.0691725764242311,0.867801413322172,0.527411756750071,1,"FNR"
"sey00626",4,"Up",0.0903242417202657,0.941832235052107,0.871391611763118,1,"Naphthalene degradation"
"sey01053",8,"Up",0.0942566685039949,0.941832235052107,0.155734032112222,1,"Biosynthesis of siderophore group nonribosomal peptides"
"sey00380",8,"Down",0.0955481977589094,0.941832235052107,0.177468410233966,1,"Tryptophan metabolism"
"sey01501",20,"Up",0.127537401316352,0.998070879569695,0.518749590485033,1,"beta-Lactam resistance"
"OxyR",42,"Down",0.138818793584367,0.998070879569695,0.036474322315983,0.559272942178406,"OxyR"
"sey00999",3,"Down",0.162936279165689,0.998070879569695,0.976604341489099,1,"Biosynthesis of various plant secondary metabolites"
"sey00633",8,"Down",0.171014392366719,0.998070879569695,0.197104241057551,1,"Nitrotoluene degradation"
"sey02060",57,"Up",0.192833396491862,0.998070879569695,0.470094359436348,1,"Phosphotransferase system (PTS)"
"sey00640",34,"Down",0.202304199195954,0.998070879569695,0.566051782161451,1,"Propanoate metabolism"
"sey05132",36,"Up",0.203808967191263,0.998070879569695,0.312442229687097,1,"Salmonella infection"
"sey00552",3,"Up",0.206753097155276,0.998070879569695,1,1,"Teichoic acid biosynthesis"
"sey00625",5,"Up",0.208416869556463,0.998070879569695,0.898134804922372,1,"Chloroalkane and chloroalkene degradation"
"sey03020",4,"Down",0.212096662052076,0.998070879569695,0.841251598276352,1,"RNA polymerase"
"sey00020",28,"Down",0.226708934331716,0.998070879569695,0.26620498009735,1,"Citrate cycle (TCA cycle)"
"Fur",41,"Up",0.228573414343529,0.998070879569695,0.185273282912272,1,"Fur"
"sey02040",45,"Down",0.243807299733145,0.998070879569695,0.33033255425448,1,"Flagellar assembly"
"sey00280",10,"Down",0.248735694781721,0.998070879569695,0.336842782882866,1,"Valine, leucine and isoleucine degradation"
"sey00650",30,"Down",0.267717568171557,0.998070879569695,0.548021640817248,1,"Butanoate metabolism"
"ArcA",239,"Down",0.291721673959298,0.998070879569695,0.23718301404593,1,"ArcA"
"sey00190",44,"Down",0.327313711988984,0.998070879569695,0.426448074969589,1,"Oxidative phosphorylation"
"sey00630",33,"Down",0.330779397175983,0.998070879569695,0.368586777810007,1,"Glyoxylate and dicarboxylate metabolism"
"sey00730",14,"Down",0.347076058518964,0.998070879569695,0.21225402198039,1,"Thiamine metabolism"
"sey00910",23,"Up",0.355492532216043,0.998070879569695,0.154957930413853,1,"Nitrogen metabolism"
"sey00627",6,"Down",0.368318015561604,0.998070879569695,0.950571869036966,1,"Aminobenzoate degradation"
"sey00903",2,"Down",0.374214483004028,0.998070879569695,1,1,"Limonene and pinene degradation"
"sey00930",2,"Down",0.374214483004028,0.998070879569695,1,1,"Caprolactam degradation"
"sey00310",18,"Down",0.376203012508126,0.998070879569695,0.155868121145004,1,"Lysine degradation"
"sey00620",58,"Down",0.377741667623942,0.998070879569695,0.366648580453682,1,"Pyruvate metabolism"
"sey01212",20,"Down",0.386018583079191,0.998070879569695,0.48216388821424,1,"Fatty acid metabolism"
"sey00250",33,"Down",0.387820086694446,0.998070879569695,0.528466763320216,1,"Alanine, aspartate and glutamate metabolism"
"sey00542",1,"Up",0.403412866826917,0.998070879569695,0.403412866826917,1,"O-Antigen repeat unit biosynthesis"
"sey00740",17,"Up",0.409320280390757,0.998070879569695,0.0229184006297429,0.559272942178406,"Riboflavin metabolism"
"sey03018",16,"Down",0.423598766552608,0.998070879569695,0.521851659503372,1,"RNA degradation"
"sey00460",8,"Down",0.435058979055225,0.998070879569695,0.750435853882052,1,"Cyanoamino acid metabolism"
"sey02020",184,"Up",0.488060111018342,0.998070879569695,0.0340123863430942,0.559272942178406,"Two-component system"
"sey00564",28,"Up",0.49530566236161,0.998070879569695,0.100796407111902,1,"Glycerophospholipid metabolism"
"sey00040",35,"Up",0.501955373868584,0.998070879569695,0.717229424113518,1,"Pentose and glucuronate interconversions"
"sey00061",13,"Down",0.503335151490873,0.998070879569695,0.49610695032913,1,"Fatty acid biosynthesis"
"sey00660",16,"Up",0.505330870320979,0.998070879569695,0.713278629196458,1,"C5-Branched dibasic acid metabolism"
"sey03410",14,"Down",0.50556245809948,0.998070879569695,0.721511856569305,1,"Base excision repair"
"sey00350",21,"Up",0.509760582099629,0.998070879569695,0.548711497454374,1,"Tyrosine metabolism"
"sey00450",15,"Down",0.514172413541658,0.998070879569695,0.628212420548645,1,"Selenocompound metabolism"
"sey03420",8,"Down",0.516014327201412,0.998070879569695,0.725412186299721,1,"Nucleotide excision repair"
"sey00670",12,"Down",0.531744593218116,0.998070879569695,0.64003423987129,1,"One carbon pool by folate"
"sey01200",111,"Down",0.538882838552556,0.998070879569695,0.508449996752854,1,"Carbon metabolism"
