"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"SlyA",8,"Up",6.54442066967024e-05,0.00628559771325013,0.00276650732445501,0.0424197789749768,"SlyA"
"CpxR",33,"Up",0.000132033038125359,0.00628559771325013,2.39914433031806e-05,0.00082770479395973,"CpxR"
"sey01503",36,"Up",0.000163469120973081,0.00628559771325013,2.78283605769671e-10,3.84031375962146e-08,"Cationic antimicrobial peptide (CAMP) resistance"
"PhoPQ",18,"Up",0.000182191238065221,0.00628559771325013,9.12022126543257e-06,0.000419530178209898,"PhoPQ"
"PmrAB",17,"Up",0.000299104939582102,0.008255296332466,2.97124679518591e-06,0.000205016028867828,"PmrAB"
"sey03250",1,"Up",0.000999490603915231,0.0229882838900503,0.000999490603915231,0.0197042433343288,"Viral life cycle - HIV-1"
"sey01053",8,"Up",0.00350639486869192,0.0691260702684978,0.0155889808912558,0.153662811642379,"Biosynthesis of siderophore group nonribosomal peptides"
"sey00920",38,"Down",0.00530059912293744,0.0914353348706708,0.08683389394018,0.479323094549793,"Sulfur metabolism"
"sey01501",20,"Up",0.00859243002674234,0.131750593743383,0.188550089584589,0.668686854461301,"beta-Lactam resistance"
"Fur",41,"Up",0.00980316939495082,0.135283737650321,0.0070902293610876,0.0815376376525073,"Fur"
"sey00540",40,"Up",0.0191570445962604,0.240333832207631,0.00309629902363838,0.0427289265262096,"Lipopolysaccharide biosynthesis"
"sey00440",3,"Up",0.0269684759504099,0.310137473429714,0.200252871920913,0.668686854461301,"Phosphonate and phosphinate metabolism"
"sey00290",20,"Up",0.0655206691313159,0.652667408929603,0.164304692927986,0.654484802093487,"Valine, leucine and isoleucine biosynthesis"
"sey00633",8,"Down",0.0662126356885105,0.652667408929603,0.271136478598394,0.692904334195896,"Nitrotoluene degradation"
"sey01210",29,"Up",0.0724720577620506,0.666742931410865,0.165992522270087,0.654484802093487,"2-Oxocarboxylic acid metabolism"
"sey00480",24,"Up",0.0975044862266812,0.823590078022044,0.034561099974781,0.280554811559987,"Glutathione metabolism"
"sey02020",184,"Up",0.101456748741846,0.823590078022044,0.00219384388896247,0.0378438070846026,"Two-component system"
"sey00220",18,"Up",0.110546962624139,0.847526713451734,0.132200826712448,0.613475475880634,"Arginine biosynthesis"
"sey00650",30,"Down",0.132169020411747,0.875108353980431,0.203513390488222,0.668686854461301,"Butanoate metabolism"
"ArcA",239,"Down",0.137933297121211,0.875108353980431,0.120261541998284,0.613475475880634,"ArcA"
"sey01502",8,"Up",0.1446982534552,0.875108353980431,0.0467483153570318,0.32256337596352,"Vancomycin resistance"
"sey02040",45,"Down",0.146498544848652,0.875108353980431,0.198908096359146,0.668686854461301,"Flagellar assembly"
"sey00020",28,"Down",0.149245551134532,0.875108353980431,0.058566518866277,0.380403079433197,"Citrate cycle (TCA cycle)"
"sey02010",168,"Up",0.155211499069411,0.875108353980431,0.0418838192430084,0.304208792396587,"ABC transporters"
"sey00500",36,"Up",0.158534122097904,0.875108353980431,0.238864949630496,0.690038025122897,"Starch and sucrose metabolism"
"sey00400",22,"Up",0.172647308700893,0.916358792335511,0.133373235963954,0.613475475880634,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"sey00910",23,"Up",0.198937387727479,0.918027017917283,0.0229797502858959,0.21087605129575,"Nitrogen metabolism"
"sey00640",34,"Down",0.20088995100303,0.918027017917283,0.326956854891277,0.7064345816306,"Propanoate metabolism"
"sey00740",17,"Up",0.202265171360386,0.918027017917283,0.000242185119710458,0.00668430930400863,"Riboflavin metabolism"
"sey00380",8,"Down",0.20850512046048,0.918027017917283,0.327621834959119,0.7064345816306,"Tryptophan metabolism"
"sey00190",44,"Down",0.21150130910197,0.918027017917283,0.287551536486791,0.7064345816306,"Oxidative phosphorylation"
"sey00626",4,"Up",0.21794595686837,0.918027017917283,0.924927993672296,1,"Naphthalene degradation"
"sey00521",10,"Down",0.229168596682542,0.918027017917283,0.506262266256894,0.858900914259379,"Streptomycin biosynthesis"
"sey01040",3,"Up",0.234269189031176,0.918027017917283,0.983729846921,1,"Biosynthesis of unsaturated fatty acids"
"sey00550",26,"Up",0.24217773215518,0.918027017917283,0.0849987310407546,0.479323094549793,"Peptidoglycan biosynthesis"
"sey01230",126,"Up",0.251470285141933,0.918027017917283,0.230034630417334,0.690038025122897,"Biosynthesis of amino acids"
"sey00760",25,"Up",0.258643916080459,0.918027017917283,0.365273637690521,0.74253640476944,"Nicotinate and nicotinamide metabolism"
"sey00332",2,"Up",0.262474935064275,0.918027017917283,0.773423944673625,0.914894916427053,"Carbapenem biosynthesis"
"sey00401",4,"Up",0.267834022200526,0.918027017917283,0.631143882196771,0.914894916427053,"Novobiocin biosynthesis"
"sey00340",12,"Up",0.271003217029353,0.918027017917283,0.343990126229808,0.726961192410434,"Histidine metabolism"
"sey00300",13,"Up",0.278827823683568,0.918027017917283,0.227900330064684,0.690038025122897,"Lysine biosynthesis"
"sey00630",33,"Down",0.279399527192217,0.918027017917283,0.136011692050955,0.613475475880634,"Glyoxylate and dicarboxylate metabolism"
"sey00270",37,"Up",0.294667936259254,0.924079821830541,0.249219912642062,0.690038025122897,"Cysteine and methionine metabolism"
"RpoE",28,"Up",0.300437200475456,0.924079821830541,0.559417231289581,0.887012719624545,"RpoE"
