"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"cdh-a",1.94705348820757,9.54954526568954,303.988470646155,2.56078843101497e-11,1.21304547977179e-07,"SL1344_4013","cdh-a"
"virK",4.57056241686651,11.5445075010839,225.286299421155,2.16398085185369e-10,1.70846288253849e-07,"SL1344_2764","virK"
"SL1344_3560",2.35890787882981,7.43158307853652,229.037134317555,1.89581104511713e-10,1.70846288253849e-07,"SL1344_3560","SL1344_3560"
"cpxP",1.89321910159067,6.58131634857265,228.053427591166,1.95395131196736e-10,1.70846288253849e-07,"SL1344_4009","cpxP"
"phoN",3.0774457029182,9.38195437282659,230.668363557987,1.80367233905356e-10,1.70846288253849e-07,"SL1344_4255","phoN"
"mdoB",1.66569017733056,10.0657157996672,233.231172882412,1.66898748971084e-10,1.70846288253849e-07,"SL1344_4472","mdoB"
"rna",1.52673448950842,8.327530458525,210.208662454338,3.45641153861542e-10,2.33900306548875e-07,"SL1344_0605","rna"
"mig-14",3.74354688820292,10.2948703793076,205.463665645443,4.05337604242611e-10,2.40010528912156e-07,"SL1344_2765","mig-14"
"lpxO",2.26626561178309,7.53161248334935,197.236923121932,5.38770817788739e-10,2.83573040429473e-07,"SL1344_4223","lpxO"
"phnO",2.63786134296871,6.10634200200727,192.589372742243,6.35870900612895e-10,3.01212045620328e-07,"SL1344_4224","phnO"
"pmrD",2.49310511169311,7.59488357319515,179.699595527042,1.02747920393135e-09,4.42469908092984e-07,"SL1344_2273","pmrD"
"yjeH",1.98001306849087,7.05764987180443,175.806406056619,1.19523838840358e-09,4.71820353822314e-07,"SL1344_4265","yjeH"
"dacC",1.51776371257306,6.99950423167484,171.639043341496,1.41017311296727e-09,5.13845387394303e-07,"SL1344_0839","dacC"
"ydiR",1.94057658084301,4.96239206127259,163.563844484522,1.96402695863322e-09,6.5550632378543e-07,"SL1344_1287","ydiR"
"yfcG",2.00875848494936,5.63096855020067,161.695648945475,2.12503034322543e-09,6.5550632378543e-07,"SL1344_2318","yfcG"
"mntH",3.66495695171419,6.60371251680919,160.730075556412,2.21408089097886e-09,6.5550632378543e-07,"SL1344_2376","mntH"
"pagN",3.4354773167178,7.76253951513557,157.287392129983,2.56786146619556e-09,7.15527045021668e-07,"SL1344_0302","pagN"
"SL1344_1198",7.16965997528417,11.4920437234158,173.216254635284,3.49946834426223e-09,8.96611353833473e-07,"SL1344_1198","SL1344_1198"
"SL1344_2272",2.44675555961541,6.61472951267251,149.715027685307,3.5962878874469e-09,8.96611353833473e-07,"SL1344_2272","SL1344_2272"
"fadL",-1.42802314671735,8.32353918484087,148.299922444512,3.83655187281956e-09,9.08687311077313e-07,"SL1344_2360","fadL"
"rlgA",1.42003194138342,8.99070889592296,140.734464690487,5.47499760159007e-09,1.23500303041582e-06,"SL1344_P1_0062","rlgA"
"gst",1.47917995741448,8.01567767516024,135.090133493339,7.22127979529274e-09,1.5548728359228e-06,"SL1344_1383","gst"
"ribB",-1.72530765836362,5.63322795576566,131.290243949513,8.75286752319164e-09,1.80271015031995e-06,"SL1344_3168","ribB"
"pdgL",1.98067850470325,6.86684218600156,129.305659795924,9.69734434373093e-09,1.91401333984389e-06,"SL1344_1530","pdgL"
"steA",2.48357867140232,8.80085047863407,125.908590625706,1.15952639198776e-08,2.19707060753841e-06,"SL1344_1514","steA"
"pagC",2.44014975053939,7.16889448951257,122.675713221205,1.38015951795117e-08,2.44679662795201e-06,"SL1344_1184","pagC"
"rbn",1.50104996081508,7.28117659305754,122.484556177046,1.3946275903463e-08,2.44679662795201e-06,"SL1344_3973","rbn"
"SL1344_1602",2.44466021283514,8.1166407282276,120.371386559313,1.56657722679696e-08,2.5598435375798e-06,"SL1344_1602","SL1344_1602"
"yfiA",2.27001280432869,7.03625809968163,120.364899579946,1.5671408610896e-08,2.5598435375798e-06,"SL1344_2624","yfiA"
