"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"cdh-a",2.52784218853223,9.54954526568954,491.884933495847,8.06747584750453e-13,3.8215633089629e-09,"SL1344_4013","cdh-a"
"phoN",3.98729876117007,9.38195437282659,357.793081822088,7.99430977222205e-12,1.89345226955079e-08,"SL1344_4255","phoN"
"SL1344_3560",2.83885212813477,7.43158307853652,321.623741345115,1.71316497581611e-11,2.01764092545565e-08,"SL1344_3560","SL1344_3560"
"lpxO",2.91309315257139,7.53161248334935,311.958246440819,2.12966109927766e-11,2.01764092545565e-08,"SL1344_4223","lpxO"
"mdoB",1.94496589139583,10.0657157996672,312.637303755847,2.09690885543363e-11,2.01764092545565e-08,"SL1344_4472","mdoB"
"rna",1.82166159968676,8.327530458525,294.694854944838,3.19382060110489e-11,2.52152136457231e-08,"SL1344_0605","rna"
"phnO",3.26759067754606,6.10634200200727,286.707357829415,3.88241319933448e-11,2.62728447503535e-08,"SL1344_4224","phnO"
"pmrD",3.13159819902718,7.59488357319515,271.072672234619,5.77826244412485e-11,3.42145364972743e-08,"SL1344_2273","pmrD"
"dacC",1.86872306665789,6.99950423167484,256.330924694833,8.58098638666798e-11,4.04315774899186e-08,"SL1344_0839","dacC"
"pdgL",2.81946838597203,6.86684218600156,249.982731089907,1.02423248866165e-10,4.04315774899186e-08,"SL1344_1530","pdgL"
"fadL",-1.88047223126617,8.32353918484087,250.047316683864,1.02236812440101e-10,4.04315774899186e-08,"SL1344_2360","fadL"
"virK",4.99999368765863,11.5445075010839,258.887149190276,8.14161423969134e-11,4.04315774899186e-08,"SL1344_2764","virK"
"pagN",4.43072710529099,7.76253951513557,241.63311854237,1.30123785817176e-10,4.64513151623206e-08,"SL1344_0302","pagN"
"mig-14",4.11346769114173,10.2948703793076,239.800941147617,1.37284866428644e-10,4.64513151623206e-08,"SL1344_2765","mig-14"
"pagC",3.36344629466242,7.16889448951257,218.924586844151,2.60173943741566e-10,8.21629314335867e-08,"SL1344_1184","pagC"
"yjeH",2.18592016711727,7.05764987180443,212.012009833682,3.2562111335353e-10,9.64042008722296e-08,"SL1344_4265","yjeH"
"SL1344_2272",2.92214086282893,6.61472951267251,207.888812480938,3.73480981906699e-10,1.01524725017699e-07,"SL1344_2272","SL1344_2272"
"yfcG",2.27900656317057,5.63096855020067,206.925586617641,3.85781095697399e-10,1.01524725017699e-07,"SL1344_2318","yfcG"
"sodCa",2.88255447291002,8.35221569707809,200.417655752143,4.82013737761635e-10,1.20173635567203e-07,"SL1344_0983","sodCa"
"rbn",1.89376472238042,7.28117659305754,191.434534798349,6.62982806010572e-10,1.57027477603604e-07,"SL1344_3973","rbn"
"gst",1.75003246129833,8.01567767516024,186.636212652826,7.90595304795188e-10,1.78335712324515e-07,"SL1344_1383","gst"
"phoP",1.71668324213826,9.96225572874715,180.552831413968,9.94385440798557e-10,2.14109265139217e-07,"SL1344_1169","phoP"
"steA",3.0058953865357,8.80085047863407,177.233800236915,1.13036302221743e-09,2.28275912357228e-07,"SL1344_1514","steA"
"SL1344_1602",2.99639468880553,8.1166407282276,173.655631449842,1.30112932945855e-09,2.28275912357228e-07,"SL1344_1602","SL1344_1602"
"yihX",2.01909472839041,8.11007467759855,173.857416872936,1.29075490333523e-09,2.28275912357228e-07,"SL1344_3972","yihX"
"cpxP",1.64381383936837,6.58131634857265,173.90437986078,1.28835386854249e-09,2.28275912357228e-07,"SL1344_4009","cpxP"
"rlgA",1.58600378594052,8.99070889592296,174.106104513269,1.278097927746e-09,2.28275912357228e-07,"SL1344_P1_0062","rlgA"
"ybjY",1.66621578930732,7.71827937803928,172.198095628036,1.37893847755209e-09,2.33286841720151e-07,"SL1344_0880","ybjY"
"yaiB",2.52229870318619,8.4518771367052,169.097992136759,1.56264202099401e-09,2.55249491498228e-07,"SL1344_0378","yaiB"
"proX",2.17844322209694,6.9910617983641,166.815803084072,1.71567641579761e-09,2.70905306054443e-07,"SL1344_2796","proX"
"mntH",3.71324740186781,6.60371251680919,164.453100619212,1.89228380584512e-09,2.8011713713401e-07,"SL1344_2376","mntH"
"SL1344_P1_0064",1.64347581574681,6.90673459695724,165.166639710677,1.83686279873509e-09,2.8011713713401e-07,"SL1344_P1_0064","SL1344_P1_0064"
"ybjZ",1.32936166874445,7.48384109268325,159.779297281265,2.30592541451272e-09,3.31005111774144e-07,"SL1344_0881","ybjZ"
"SL1344_1198",7.2955003699425,11.4920437234158,177.407653404192,3.00224787164521e-09,4.1828376964657e-07,"SL1344_1198","SL1344_1198"
"dacD",1.48406903794172,7.04381013212438,152.370553766254,3.19005385300777e-09,4.31751002905652e-07,"SL1344_2038","dacD"
"SL1344_1795",3.95397786802347,4.95297218207249,151.603080972259,3.3018466307878e-09,4.34467985834494e-07,"SL1344_1795","SL1344_1795"
"ydcR",1.63909183319541,7.04344307383435,150.636446971764,3.44902771610613e-09,4.41568764626885e-07,"SL1344_1529","ydcR"
"ydiR",1.85250635098397,4.96239206127259,149.641710315537,3.60830844477097e-09,4.49804134286318e-07,"SL1344_1287","ydiR"
"rimO",-2.23389970173541,8.79598443723909,143.695662342222,4.75391662068583e-09,5.66831070051887e-07,"SL1344_0828","rimO"
"glgB",1.60089498822588,7.09219305589988,143.551519659956,4.78641393330704e-09,5.66831070051887e-07,"SL1344_3505","glgB"
"SL1344_1783",2.32824397239513,5.01520822569583,140.570326795811,5.5184592673045e-09,5.70762272148032e-07,"SL1344_1783","SL1344_1783"
"SL1344_1794",4.34864122948038,3.66762677911512,140.544446515359,5.52534769854084e-09,5.70762272148032e-07,"SL1344_1794","SL1344_1794"
"yfiA",2.46938745729035,7.03625809968163,140.770889499333,5.46540549140521e-09,5.70762272148032e-07,"SL1344_2624","yfiA"
"ugpB",1.63829851523672,5.68763557561709,142.251843218941,5.09108809369733e-09,5.70762272148032e-07,"SL1344_3523","ugpB"
