"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"thrL",-0.251033640146809,6.2252478073134,1.67444290208022,0.211491637653227,0.998220699241171,"SL1344_0001","thrL"
"thrB",0.0841615239983612,7.756727846542,0.226832167889526,0.63942581800033,0.998220699241171,"SL1344_0003","thrB"
"thrC",0.0171874530133006,8.49325750726266,0.007640352516966,0.931279898004398,0.998220699241171,"SL1344_0004","thrC"
"yaaA",-0.0834915281176651,6.77837973217393,0.460500259106813,0.505741068969038,0.998220699241171,"SL1344_0005","yaaA"
"yaaJ",0.0263489000043387,5.85697566915271,0.0557252529420039,0.81596280167311,0.998220699241171,"SL1344_0006","yaaJ"
"talB",-0.0286038280444127,9.43906097562021,0.0231172847115057,0.880788489271691,0.998220699241171,"SL1344_0007","talB"
"mog",0.0654710451716539,5.64191869341483,0.186128157827157,0.671114649936918,0.998220699241171,"SL1344_0008","mog"
"yaaH",-0.0658108819956568,9.18607992082276,0.131940359306375,0.720521345793516,0.998220699241171,"SL1344_0009","yaaH"
"htgA",-0.172930015289565,2.68938790413652,0.678204978454126,0.42063314044832,0.998220699241171,"SL1344_0010","htgA"
"yaaI",-0.142883837056692,2.54999421348447,0.247188574562701,0.624883726516899,0.998220699241171,"SL1344_0011","yaaI"
"dnaK",0.0269824741406679,12.4559628851401,0.00444489660813328,0.947685325494656,0.998220699241171,"SL1344_0012","dnaK"
"dnaJ",0.147178159383313,9.50238246185262,0.14269944122271,0.710569631451666,0.998220699241171,"SL1344_0013","dnaJ"
"SL1344_0014",0.182898565024449,5.11194158974445,0.55656363946731,0.464967072137429,0.998220699241171,"SL1344_0014","SL1344_0014"
"SL1344_0015",-0.591946255862811,1.33889705363951,2.65033554430162,0.120337566608608,0.998220699241171,"SL1344_0015","SL1344_0015"
"SL1344_0016",-0.0194942203004519,1.15223030634333,0.0015669289280451,0.968845943281271,0.998220699241171,"SL1344_0016","SL1344_0016"
"SL1344_0017",-0.175997655888135,1.13838663101228,0.175105098335726,0.680402858052626,0.998220699241171,"SL1344_0017","SL1344_0017"
"chiA",-0.229021370712501,4.08914925252466,0.979720922708012,0.334961857001918,0.998220699241171,"SL1344_0018","chiA"
"SL1344_0019",-0.189088125268153,4.2713806910633,1.31034217251559,0.266840300963995,0.998220699241171,"SL1344_0019","SL1344_0019"
"SL1344_0020",-0.66654514991348,2.04901208484583,2.99148272807905,0.100253024817529,0.998220699241171,"SL1344_0020","SL1344_0020"
"bcfA",-0.174683797433036,3.41295770082057,0.834423262881783,0.372678455808046,0.998220699241171,"SL1344_0021","bcfA"
"bcfB",-0.011325108800291,3.5452390547819,0.00312879839679853,0.955989158787094,0.998220699241171,"SL1344_0022","bcfB"
"bcfC",-0.186946776197292,4.48161706439953,1.42057308991848,0.248285212544477,0.998220699241171,"SL1344_0023","bcfC"
"bcfD",0.054884639983168,3.7140721601521,0.0742918202291805,0.788188378482977,0.998220699241171,"SL1344_0024","bcfD"
"bcfE",-0.340614511118702,2.25029812547168,1.87920674138523,0.186729930364044,0.998220699241171,"SL1344_0025","bcfE"
"bcfF",0.00675873493037287,2.29496498321403,0.00102998027307385,0.983342567671176,0.998220699241171,"SL1344_0026","bcfF"
"bcfG",0.135437282486053,2.88294763933053,0.59673497498676,0.449525295482092,0.998220699241171,"SL1344_0027","bcfG"
"bcfH",0.182744108066997,4.00921746189155,1.85397707113454,0.189577383711723,0.998220699241171,"SL1344_0028","bcfH"
"SL1344_0029",-0.116578498207282,2.57598199096016,0.128813364761201,0.723704713677246,0.998220699241171,"SL1344_0029","SL1344_0029"
"SL1344_0030",0.239196510358447,0.392079553111575,0.173728846693588,0.681586609908542,0.998220699241171,"SL1344_0030","SL1344_0030"
"SL1344_0031",-0.0750176439840964,2.45630075851651,0.0464773595949702,0.831655291815398,0.998220699241171,"SL1344_0031","SL1344_0031"
"SL1344_0032",0.183139050799987,1.19318660527827,0.130368838980976,0.72211577434525,0.998220699241171,"SL1344_0032","SL1344_0032"
"SL1344_0033",-0.313689887160314,3.70335802225195,1.1938623572358,0.288493257519942,0.998220699241171,"SL1344_0033","SL1344_0033"
"SL1344_0034",-0.0162647111653658,4.32685939084631,0.00893196897368853,0.925714794787031,0.998220699241171,"SL1344_0034","SL1344_0034"
"SL1344_0035",-0.838234912711504,1.36792815483736,2.97854476805251,0.100938511709169,0.998220699241171,"SL1344_0035","SL1344_0035"
"SL1344_0036",-0.00681330889231138,4.07312659672298,0.00128124230356185,0.97182737099906,0.998220699241171,"SL1344_0036","SL1344_0036"
"SL1344_0037",-0.0278255767642191,3.26454781302606,0.0208882520138021,0.88663729592259,0.998220699241171,"SL1344_0037","SL1344_0037"
"SL1344_0038",-0.270605076061655,2.419738009261,0.472005650516886,0.500537386424084,0.998220699241171,"SL1344_0038","SL1344_0038"
"SL1344_0039",-0.0615426312271788,4.88460498914442,0.163122749111528,0.690900404694536,0.998220699241171,"SL1344_0039","SL1344_0039"
"nhaR",-0.0810360632622699,7.26818808471112,0.333648320576399,0.570441147266413,0.998220699241171,"SL1344_0041","nhaR"
"SL1344_0042",-0.316142722856544,4.66793610622264,4.20137285783529,0.054750878382447,0.998220699241171,"SL1344_0042","SL1344_0042"
"SL1344_0043",-0.231078156130951,2.49779578681383,0.51514025288438,0.481834304449511,0.998220699241171,"SL1344_0043","SL1344_0043"
"rpsT",-0.211955318827635,10.0520684068109,0.76169853095126,0.394138444039201,0.998220699241171,"SL1344_0044","rpsT"
"yaaY",-1.09045261744813,0.816482009912234,4.89720316423422,0.039608228437565,0.998220699241171,"SL1344_0045","yaaY"
"ribF",0.156441706661299,8.30470358518182,0.995576809628001,0.331179350048312,0.998220699241171,"SL1344_0046","ribF"
"ileS",0.102901176469013,10.3957676851561,0.603140295365234,0.447140443303661,0.998220699241171,"SL1344_0047","ileS"
"lspA",0.0645676863984961,7.09804937062039,0.155709195509878,0.69762322648902,0.998220699241171,"SL1344_0048","lspA"
"fkpB",0.106441446826048,6.99438031084489,0.824681746165444,0.375423710073238,0.998220699241171,"SL1344_0049","fkpB"
"ispH",0.196450947574143,7.36621414377256,0.711102200124281,0.409785065425395,0.998220699241171,"SL1344_0050","ispH"
