"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"cdh-a",1.83335208230368,9.54954526568954,271.34752883217,5.73693936364085e-11,2.71758817655667e-07,"SL1344_4013","cdh-a"
"virK",4.14456364164636,11.5445075010839,192.792650963502,6.40951231689055e-10,1.51809299225553e-06,"SL1344_2764","virK"
"mdoB",1.45905439914587,10.0657157996672,180.927633616323,9.80231789050667e-10,1.547785994911e-06,"SL1344_4472","mdoB"
"mig-14",3.29807078893961,10.2948703793076,165.895378819627,1.78215370328219e-09,1.73099573533568e-06,"SL1344_2765","mig-14"
"lpxO",2.06352026666098,7.53161248334935,165.294846538841,1.82710126170116e-09,1.73099573533568e-06,"SL1344_4223","lpxO"
"phoN",2.51577484437702,9.38195437282659,160.959560509206,2.19253915405495e-09,1.73100966212639e-06,"SL1344_4255","phoN"
"SL1344_1198",7.42940390388818,11.4920437234158,181.869024725114,2.55974555113136e-09,1.73221638224418e-06,"SL1344_1198","SL1344_1198"
"rna",1.25518905180156,8.327530458525,143.66054734145,4.76181026068632e-09,2.5062994672079e-06,"SL1344_0605","rna"
"mntH",3.44063128797309,6.60371251680919,143.897704615844,4.70878611574968e-09,2.5062994672079e-06,"SL1344_2376","mntH"
"pmrD",2.16769018535313,7.59488357319515,138.388388874515,6.13501864813385e-09,2.906158333621e-06,"SL1344_2273","pmrD"
"phnO",2.1704029872305,6.10634200200727,132.007785612928,8.43742233964815e-09,3.6334608748103e-06,"SL1344_4224","phnO"
"SL1344_3560",1.75253669086694,7.43158307853652,130.129158354566,9.2920639203908e-09,3.66804223257427e-06,"SL1344_3560","SL1344_3560"
"pagN",3.01953756603269,7.76253951513557,125.037989990855,1.21472765915009e-08,4.42628070876458e-06,"SL1344_0302","pagN"
"pagC",2.38084876814249,7.16889448951257,117.061169979852,1.88655420694121e-08,6.3832909130575e-06,"SL1344_1184","pagC"
"dacC",1.19013718104665,6.99950423167484,106.425090875654,3.54467854097649e-08,9.76876947962507e-06,"SL1344_0839","dacC"
"phoP",1.29912192494405,9.96225572874715,105.682034566651,3.71200866863524e-08,9.76876947962507e-06,"SL1344_1169","phoP"
"pdgL",1.79131738430074,6.86684218600156,106.411678530112,3.54762202361812e-08,9.76876947962507e-06,"SL1344_1530","pdgL"
"narP",-2.35831342222035,4.84063524006701,105.887030720056,3.66496687714643e-08,9.76876947962507e-06,"SL1344_2222","narP"
"SL1344_1602",2.16416436539038,8.1166407282276,96.0138394146621,6.95426792750299e-08,1.73380879855693e-05,"SL1344_1602","SL1344_1602"
"steA",2.13184083268521,8.80085047863407,94.969213559508,7.4668208092485e-08,1.76851650867051e-05,"SL1344_1514","steA"
"rimO",-1.77089542771271,8.79598443723909,93.1931708702951,8.43979262231251e-08,1.81724080235883e-05,"SL1344_0828","rimO"
"SL1344_2272",1.91047708449379,6.61472951267251,93.225535675269,8.42082236937902e-08,1.81724080235883e-05,"SL1344_2272","SL1344_2272"
"yjeH",1.40154110601246,7.05764987180443,90.1031619602215,1.04960182276663e-07,2.16172340628066e-05,"SL1344_4265","yjeH"
