"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"SL1344_1198",6.69583766734809,11.4920437234158,157.492842761702,6.42381889795427e-09,3.04296301196094e-05,"SL1344_1198","SL1344_1198"
"cdh-a",1.13827375422461,9.54954526568954,108.384346430789,3.14300417153632e-08,7.44420538028377e-05,"SL1344_4013","cdh-a"
"virK",2.82395229743772,11.5445075010839,100.579120681311,5.19127115002376e-08,8.19701714588752e-05,"SL1344_2764","virK"
"mdoB",1.03674263629903,10.0657157996672,93.1133180913445,8.48680512327812e-08,0.000100504989672421,"SL1344_4472","mdoB"
"rpmE2",7.46181518048707,11.214053170114,85.3541350328967,2.84328312861664e-07,0.000204838810172196,"SL1344_0462","rpmE2"
"rna",0.908855905431072,8.327530458525,76.3171086466091,3.02696151827184e-07,0.000204838810172196,"SL1344_0605","rna"
"mig-14",2.15944561103076,10.2948703793076,77.7764228210236,2.68594044597082e-07,0.000204838810172196,"SL1344_2765","mig-14"
"lpxO",1.26348050638951,7.53161248334935,64.241062459695,8.83055311830861e-07,0.000522879126517849,"SL1344_4223","lpxO"
"phoN",1.52009892957569,9.38195437282659,62.4531977623434,1.0492975243349e-06,0.000552280263641605,"SL1344_4255","phoN"
"rpmJa",6.33256476279134,9.04755780966658,60.6312554766512,2.09534770609826e-06,0.000827138506982287,"SL1344_0463","rpmJa"
"pmrD",1.35479912659017,7.59488357319515,56.1149584467866,2.00184805495053e-06,0.000827138506982287,"SL1344_2273","pmrD"
"SL1344_3560",1.13866262960996,7.43158307853652,56.168829846921,1.99040248408133e-06,0.000827138506982287,"SL1344_3560","SL1344_3560"
"pagP",1.03119143882139,9.19962435580162,51.3397613466015,3.38983682473539e-06,0.00123520438759781,"SL1344_0616","pagP"
"phoP",0.861480548945031,9.96225572874715,47.2897341461033,5.46751603752087e-06,0.00184997310498117,"SL1344_1169","phoP"
"ahpF",-0.929751062998008,8.81418923272642,43.1783216728879,9.18760789430531e-06,0.00290144657302162,"SL1344_0597","ahpF"
"SL1344_2272",1.2801532352076,6.61472951267251,42.6631777626461,9.83087983939388e-06,0.00291055486245055,"SL1344_2272","SL1344_2272"
"yeiU",0.802947146175864,8.81849883328783,42.1298848905898,1.05512362033166e-05,0.00294007093500651,"SL1344_2190","yeiU"
"gst",0.806421706387544,8.01567767516024,41.1052234583356,1.21100797401676e-05,0.00318696931828745,"SL1344_1383","gst"
"aadA",2.58517252087423,5.40169004259834,40.683726631871,1.5518589168949e-05,0.00367557784466558,"SL1344_1199","aadA"
"SL1344_1602",1.3591378364475,8.1166407282276,39.476196282845,1.51580100714932e-05,0.00367557784466558,"SL1344_1602","SL1344_1602"
"phoQ",0.74917552457536,8.92378687593353,37.6277275287654,1.97231425977262e-05,0.0043511817663939,"SL1344_1168","phoQ"
