"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"sey01501",20,"Up",8.75004932790049e-08,1.20750680725027e-05,8.42723254432907e-14,6.60486569296346e-12,"beta-Lactam resistance"
"CpxR",33,"Up",5.50845273057984e-07,3.26943454354058e-05,2.73938836508246e-11,3.7803559438138e-10,"CpxR"
"SlyA",8,"Up",7.10746639900127e-07,3.26943454354058e-05,3.33913225170219e-05,6.98182198083185e-05,"SlyA"
"sey00290",20,"Up",1.52672408395838e-06,4.28394260206265e-05,1.42198602534668e-07,5.7715903381718e-07,"Valine, leucine and isoleucine biosynthesis"
"sey00660",16,"Up",1.55215311668937e-06,4.28394260206265e-05,9.15323519929346e-09,5.23193827430998e-08,"C5-Branched dibasic acid metabolism"
"PhoPQ",18,"Up",1.88995945159543e-06,4.34690673866948e-05,1.67232371253066e-07,6.23731546835758e-07,"PhoPQ"
"sey01503",36,"Up",4.42321333514565e-06,8.72004914642999e-05,9.5722691202369e-14,6.60486569296346e-12,"Cationic antimicrobial peptide (CAMP) resistance"
"sey01210",29,"Up",2.15588445651643e-05,0.000371890068749085,1.5850560788465e-07,6.23731546835758e-07,"2-Oxocarboxylic acid metabolism"
"sey00565",1,"Down",3.61009201628903e-05,0.000553547442497651,3.61009201628903e-05,7.43571191414755e-05,"Ether lipid metabolism"
"sey00521",10,"Down",4.91199982648865e-05,0.000677855976055434,9.15619152578915e-06,2.17854212165328e-05,"Streptomycin biosynthesis"
"sey03250",1,"Up",7.93089522313371e-05,0.000994966855265865,7.93089522313371e-05,0.000156351934398922,"Viral life cycle - HIV-1"
"sey00440",3,"Up",0.000162766830687047,0.00187181855290104,0.027058355634313,0.0352269158258037,"Phosphonate and phosphinate metabolism"
"PmrAB",17,"Up",0.000187720635237597,0.00196581898726498,6.73655817934272e-11,8.45131844317541e-10,"PmrAB"
"sey00310",18,"Up",0.00019943091175152,0.00196581898726498,2.68623111145404e-06,6.86481284038254e-06,"Lysine degradation"
"sey01053",8,"Up",0.000236412124478954,0.00217499154520638,0.0019765974517727,0.00317174939935619,"Biosynthesis of siderophore group nonribosomal peptides"
"sey00280",10,"Up",0.00028733350667483,0.00247825149507041,1.09075914438582e-06,3.20265450904773e-06,"Valine, leucine and isoleucine degradation"
"sey00500",36,"Up",0.000309115022772726,0.00250928665544919,3.48270815119886e-07,1.17222859723279e-06,"Starch and sucrose metabolism"
"Fur",41,"Up",0.000384128208383959,0.00294498293094369,7.93013507832832e-06,1.95421185858805e-05,"Fur"
"sey02040",45,"Down",0.00051480221612955,0.00364596819365542,6.18670244083109e-05,0.000123734048816622,"Flagellar assembly"
"sey00525",3,"Down",0.000528401187486293,0.00364596819365542,0.286827230070215,0.311670533462123,"Acarbose and validamycin biosynthesis"
"sey02024",60,"Up",0.000733843600542226,0.0048224008035632,1.06035502374783e-11,2.43881655462001e-10,"Quorum sensing"
"sey00523",5,"Down",0.000896656521301774,0.0056244818154384,0.0750981335488346,0.0917127648649484,"Polyketide sugar unit biosynthesis"
"sey02030",23,"Down",0.000952396638353053,0.00571437983011832,8.86808754581897e-07,2.71954684738449e-06,"Bacterial chemotaxis"
"sey00190",44,"Down",0.00120313129408341,0.00691800494097963,8.09623767587786e-05,0.000157363492855091,"Oxidative phosphorylation"
"sey00040",35,"Up",0.00149857653379263,0.00827214246653533,2.30730581206692e-07,8.37916321224303e-07,"Pentose and glucuronate interconversions"
"sey00281",5,"Up",0.00166704460612033,0.00884815983248484,0.0281398927346025,0.0359565296053254,"Geraniol degradation"
"sey02020",184,"Up",0.00207499842057096,0.0106055474829182,1.00042922169459e-11,2.43881655462001e-10,"Two-component system"
"sey00364",1,"Up",0.00233697457086605,0.0111207755441212,0.00233697457086605,0.0036648010315854,"Fluorobenzoate degradation"
"sey00623",1,"Up",0.00233697457086605,0.0111207755441212,0.00233697457086605,0.0036648010315854,"Toluene degradation"
"sey00480",24,"Up",0.00267378144228991,0.0122838590521944,7.12758217808359e-09,4.67433463916649e-08,"Glutathione metabolism"
"sey00541",26,"Down",0.00275941761317412,0.0122838590521944,0.00115560313175309,0.00192136424315573,"O-Antigen nucleotide sugar biosynthesis"
"sey00220",18,"Up",0.00292481460179001,0.0126132629702194,1.8862847581414e-08,9.2966891651255e-08,"Arginine biosynthesis"
"sey03060",18,"Down",0.00337968165783063,0.0137466659714674,0.00732136609177129,0.0105244637569212,"Protein export"
"sey02010",168,"Up",0.00338685973210067,0.0137466659714674,3.52517304978804e-09,2.70263267150416e-08,"ABC transporters"
"sey03010",56,"Down",0.00375241274084173,0.0140746120191349,2.36338737230704e-05,5.01765319043648e-05,"Ribosome"
"sey00400",22,"Up",0.003766116269762,0.0140746120191349,2.35099220612779e-05,5.01765319043648e-05,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"sey00240",48,"Down",0.00377362786020284,0.0140746120191349,2.56070526920219e-09,2.07869015970531e-08,"Pyrimidine metabolism"
"sey00261",8,"Up",0.0041108871699685,0.0144189346123899,0.000937471137492337,0.00159124887776383,"Monobactam biosynthesis"
"sey00903",2,"Up",0.00426576156675917,0.0144189346123899,0.410476263916073,0.435736341695524,"Limonene and pinene degradation"
"sey00930",2,"Up",0.00426576156675917,0.0144189346123899,0.410476263916073,0.435736341695524,"Caprolactam degradation"
"sey03020",4,"Down",0.00428388637034773,0.0144189346123899,0.19142129578969,0.218315196851052,"RNA polymerase"
"sey01250",49,"Down",0.00463950049311093,0.015244073048793,1.28842432083703e-05,2.96337593792517e-05,"Biosynthesis of nucleotide sugars"
"RpoS",63,"Up",0.00486945501782447,0.0154678647381932,1.91188800721748e-06,5.07385663453869e-06,"RpoS"
"sey00910",23,"Up",0.00493546331406136,0.0154678647381932,6.26727525082652e-12,2.43881655462001e-10,"Nitrogen metabolism"
"sey00340",12,"Up",0.00504386893636735,0.0154678647381932,0.00260592574703023,0.00404064891112553,"Histidine metabolism"
"sey03070",38,"Down",0.00531132370144203,0.0159339711043261,0.0189703028079416,0.0253752352416824,"Bacterial secretion system"
"sey00785",3,"Down",0.00549928128568212,0.0161468259026411,0.211394230894933,0.237174015150413,"Lipoic acid metabolism"
"sey01230",126,"Up",0.00601382110135251,0.0172897356663885,1.03444227062359e-06,3.10332681187078e-06,"Biosynthesis of amino acids"
"sey00332",2,"Up",0.00697067823247477,0.01963170604248,0.477988880062972,0.499715647338562,"Carbapenem biosynthesis"
"sey00361",2,"Up",0.00816142933552465,0.022525544966048,0.511135452321555,0.522494017928701,"Chlorocyclohexane and chlorobenzene degradation"
"sey00760",25,"Up",0.0085985607527,0.0232666938014235,4.83173238221651e-07,1.58756921129971e-06,"Nicotinate and nicotinamide metabolism"
"sey00920",38,"Up",0.00984018790760161,0.0260585224429091,0.00151224222143863,0.0024843979352206,"Sulfur metabolism"
"Lrp",145,"Up",0.0100079832570593,0.0260585224429091,1.26476369469384e-11,2.45006349835347e-10,"Lrp"
"sey00410",9,"Up",0.0112135395817544,0.0286568233755946,1.1449201169596e-05,2.67794874814279e-05,"beta-Alanine metabolism"
"sey00020",28,"Down",0.0147180806980953,0.0368970350612581,7.88247241449832e-07,2.52972370511807e-06,"Citrate cycle (TCA cycle)"
"sey00540",40,"Down",0.0149727098799308,0.0368970350612581,9.47814904766301e-09,5.23193827430998e-08,"Lipopolysaccharide biosynthesis"
"sey01232",56,"Down",0.0159137098762964,0.0385279291741913,7.79055773194415e-09,4.67433463916649e-08,"Nucleotide metabolism"
"sey00360",7,"Up",0.0164616662456356,0.0391674127913398,0.0352576600209561,0.0446381383751555,"Phenylalanine metabolism"
"sey00052",30,"Up",0.0167606005866415,0.0392027606941785,0.0614716869312238,0.0757418999688293,"Galactose metabolism"
"sey00740",17,"Up",0.0189809635300661,0.0436562161191521,1.15791740419475e-09,9.98703761117972e-09,"Riboflavin metabolism"
"sey00300",13,"Up",0.0221321201217985,0.0500693865050524,0.000278515989757291,0.000512469421153415,"Lysine biosynthesis"
"sey00627",6,"Up",0.0225318461660412,0.0501515285631239,0.495926334012519,0.510730105177072,"Aminobenzoate degradation"
"sey00770",25,"Up",0.03061618188532,0.0658429976422191,1.68194474960101e-08,8.5966064979607e-08,"Pantothenate and CoA biosynthesis"
"OxyR",42,"Up",0.0306670854249949,0.0658429976422191,8.48211537171438e-07,2.6602998211286e-06,"OxyR"
"sey01502",8,"Up",0.0310130061358278,0.0658429976422191,1.64947804361951e-06,4.46329352979396e-06,"Vancomycin resistance"
"sey00362",9,"Up",0.0332797168451901,0.0695258084132972,0.00325927202949139,0.00494263230845947,"Benzoate degradation"
"sey00401",4,"Up",0.0337552837948617,0.0695258084132972,0.20747417393368,0.234683901662687,"Novobiocin biosynthesis"
"sey00260",37,"Up",0.0377212584016309,0.0765519655797803,1.56691926441561e-06,4.32469716978709e-06,"Glycine, serine and threonine metabolism"
"sey00633",8,"Up",0.0429908569492642,0.0859817138985283,0.000496678861131857,0.000878739523540978,"Nitrotoluene degradation"
"sey00270",37,"Up",0.0439996931699428,0.0867422522493158,6.49090916715795e-08,2.79119095130004e-07,"Cysteine and methionine metabolism"
"sey00350",21,"Up",0.046798448560476,0.0909603648076857,0.00387081141417036,0.0057437846790915,"Tyrosine metabolism"
"sey00061",13,"Down",0.0515584714061977,0.0988204035285456,0.000302005665124778,0.00054837870772657,"Fatty acid biosynthesis"
"sey01120",279,"Up",0.0560334437507448,0.105926236131545,6.67458705745662e-08,2.79119095130004e-07,"Microbial metabolism in diverse environments"
"sey05132",36,"Up",0.0609824231788575,0.113723978360572,3.41619094733286e-07,1.17222859723279e-06,"Salmonella infection"
"sey00999",3,"Down",0.0662427946553368,0.12188674216582,0.0844363166707552,0.102212383338283,"Biosynthesis of various plant secondary metabolites"
"sey00330",23,"Up",0.0786617556528346,0.142833187895937,2.06859441301617e-05,4.53120680946399e-05,"Arginine and proline metabolism"
"sey00970",26,"Down",0.0805500535928395,0.144362433711842,0.00982889370645668,0.0137008821362729,"Aminoacyl-tRNA biosynthesis"
"sey03030",21,"Down",0.100487645705004,0.177785834708853,0.0125324365240043,0.0171235271318078,"DNA replication"
"sey00542",1,"Down",0.10335703072691,0.179297082908553,0.10335703072691,0.121908292652253,"O-Antigen repeat unit biosynthesis"
"sey00450",15,"Up",0.103940337918001,0.179297082908553,3.16039871475921e-07,1.11829492983788e-06,"Selenocompound metabolism"
"sey00550",26,"Up",0.112072689166027,0.190938655616194,4.87024840618915e-10,4.48062853369402e-09,"Peptidoglycan biosynthesis"
"sey03420",8,"Down",0.142127768468923,0.239190634740382,0.250669160789967,0.27897051765335,"Nucleotide excision repair"
"sey00790",24,"Down",0.155847480864781,0.259119907943853,0.00341788967070977,0.00512683450606466,"Folate biosynthesis"
"ArcA",239,"Down",0.164573297695193,0.270370417642103,1.42032666571216e-11,2.45006349835347e-10,"ArcA"
"sey00051",43,"Up",0.187484483789802,0.304386573682267,0.0191233656893838,0.0253752352416824,"Fructose and mannose metabolism"
