"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:sey01501",20,"Up",0.00823180273967473,0.704905659854272,0.251196830110741,0.942187409864229,"beta-Lactam resistance"
"path:sey01503",36,"Up",0.0410812217963274,0.704905659854272,0.26325589971825,0.942187409864229,"Cationic antimicrobial peptide (CAMP) resistance"
"path:sey00220",18,"Up",0.0608622454901379,0.704905659854272,0.220926721607451,0.942187409864229,"Arginine biosynthesis"
"path:sey00740",17,"Up",0.0674113213108524,0.704905659854272,0.399300056858427,0.942187409864229,"Riboflavin metabolism"
"path:sey01040",3,"Up",0.0985244633686627,0.704905659854272,1,1,"Biosynthesis of unsaturated fatty acids"
"PmrAB",17,"Up",0.105511303920956,0.704905659854272,0.26628364027815,0.942187409864229,"PmrAB"
"CRP",231,"Up",0.106008920442442,0.704905659854272,0.491838474428909,0.942187409864229,"CRP"
"path:sey03070",38,"Down",0.114499845730735,0.704905659854272,0.371430676268454,0.942187409864229,"Bacterial secretion system"
"path:sey03018",16,"Up",0.114957070350183,0.704905659854272,0.22263409032827,0.942187409864229,"RNA degradation"
"path:sey00550",26,"Up",0.134684398390672,0.704905659854272,0.288626298024139,0.942187409864229,"Peptidoglycan biosynthesis"
"path:sey00564",28,"Up",0.139935806620992,0.704905659854272,0.343265946090191,0.942187409864229,"Glycerophospholipid metabolism"
"path:sey03420",8,"Up",0.140856420621404,0.704905659854272,0.416267279263917,0.942187409864229,"Nucleotide excision repair"
"path:sey00780",14,"Up",0.14538326484726,0.704905659854272,0.320292842605182,0.942187409864229,"Biotin metabolism"
"path:sey00061",13,"Up",0.169314619745185,0.704905659854272,0.394763087473608,0.942187409864229,"Fatty acid biosynthesis"
"path:sey00670",12,"Up",0.178783424991838,0.704905659854272,0.371424936448818,0.942187409864229,"One carbon pool by folate"
"path:sey01212",20,"Up",0.185116885620364,0.704905659854272,0.480162922816679,0.942187409864229,"Fatty acid metabolism"
"path:sey00410",9,"Up",0.189275339346501,0.704905659854272,0.817609015238334,1,"beta-Alanine metabolism"
"path:sey01210",29,"Up",0.191621486942468,0.704905659854272,0.604151932417188,0.949628322217696,"2-Oxocarboxylic acid metabolism"
"path:sey03410",14,"Up",0.200573166544769,0.704905659854272,0.385140303686449,0.942187409864229,"Base excision repair"
"path:sey00040",35,"Down",0.203469119771977,0.704905659854272,0.429731434647289,0.942187409864229,"Pentose and glucuronate interconversions"
"path:sey00540",40,"Up",0.209507163743144,0.704905659854272,0.566255864869549,0.942187409864229,"Lipopolysaccharide biosynthesis"
"path:sey00230",71,"Up",0.2133641367809,0.704905659854272,0.361446132433858,0.942187409864229,"Purine metabolism"
"path:sey01250",49,"Up",0.217002031417176,0.704905659854272,0.485253768320868,0.942187409864229,"Biosynthesis of nucleotide sugars"
"path:sey00900",14,"Up",0.227056700562606,0.704905659854272,0.42645622415538,0.942187409864229,"Terpenoid backbone biosynthesis"
"path:sey00400",22,"Up",0.229124511590617,0.704905659854272,0.479873067377283,0.942187409864229,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:sey00053",22,"Down",0.233611044224083,0.704905659854272,0.524249482955472,0.942187409864229,"Ascorbate and aldarate metabolism"
