"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"SlyA",8,"Up",6.85913218023032e-07,9.46560240871785e-05,7.4346586599645e-05,0.000193581678316057,"SlyA"
"CpxR",33,"Up",3.6652147079136e-06,0.000156116912378144,9.83090471582897e-10,2.7133297015688e-08,"CpxR"
"sey01501",20,"Up",4.04966960522753e-06,0.000156116912378144,1.87371039583467e-10,7.46908992573075e-09,"beta-Lactam resistance"
"sey00660",16,"Up",4.96841717373017e-06,0.000156116912378144,3.71221429810582e-09,6.40356966423254e-08,"C5-Branched dibasic acid metabolism"
"PhoPQ",18,"Up",5.65640986877334e-06,0.000156116912378144,5.64192660159473e-07,3.11434348408029e-06,"PhoPQ"
"sey00290",20,"Up",9.39168277914977e-06,0.000216008703920445,2.01820789898933e-07,1.43782088159701e-06,"Valine, leucine and isoleucine biosynthesis"
"sey01503",36,"Up",5.0773566572598e-05,0.0010009645981455,1.15306088981304e-10,7.46908992573075e-09,"Cationic antimicrobial peptide (CAMP) resistance"
"sey01210",29,"Up",7.74858296815887e-05,0.0013366305620074,3.11794345701233e-07,2.04893427175096e-06,"2-Oxocarboxylic acid metabolism"
"sey03250",1,"Up",9.02616649838357e-05,0.00138401219641881,9.02616649838357e-05,0.000230668699403136,"Viral life cycle - HIV-1"
"sey00440",3,"Up",0.000145983587136243,0.00184216867456932,0.039863320426083,0.0614120332887177,"Phosphonate and phosphinate metabolism"
"Fur",41,"Up",0.000146839532030888,0.00184216867456932,3.11712649830595e-05,9.55918792813825e-05,"Fur"
"PmrAB",17,"Up",0.000202712980370458,0.00233119927426027,1.43995177580252e-09,3.3118890843458e-08,"PmrAB"
"sey01053",8,"Up",0.000296331169890838,0.00314566934191813,0.00222131580717179,0.00454911352662318,"Biosynthesis of siderophore group nonribosomal peptides"
"sey00500",36,"Up",0.00050147200770971,0.00494308121885286,1.42705282174432e-05,4.76618954930301e-05,"Starch and sucrose metabolism"
"sey02024",60,"Up",0.00154598922343419,0.0142231008555946,8.21238812499785e-08,6.29616422916502e-07,"Quorum sensing"
"sey00340",12,"Up",0.00178899371998119,0.0145024684368056,0.000369091662082655,0.000821526602700102,"Histidine metabolism"
"sey00280",10,"Up",0.0018189533292398,0.0145024684368056,1.76147867716014e-06,7.73137446572955e-06,"Valine, leucine and isoleucine degradation"
"sey02040",45,"Down",0.00199024793028901,0.0145024684368056,0.000873322964496749,0.00188310264219612,"Flagellar assembly"
"OxyR",42,"Up",0.0020870540344606,0.0145024684368056,3.60991023271335e-06,1.38379892254012e-05,"OxyR"
"sey00220",18,"Up",0.0021018070198269,0.0145024684368056,1.03552969057137e-06,5.2927073073648e-06,"Arginine biosynthesis"
"sey00480",24,"Up",0.00274769168980442,0.0180562596758576,1.44482855851731e-06,7.12094075269248e-06,"Glutathione metabolism"
"sey00190",44,"Down",0.00336338802775355,0.0210976158104541,0.000180890709231563,0.000416048631232596,"Oxidative phosphorylation"
"sey00310",18,"Up",0.00383320468457946,0.0221743020220666,9.94307070506012e-05,0.000249480683145145,"Lysine degradation"
"sey00400",22,"Up",0.00385640035166376,0.0221743020220666,1.56636796434662e-05,5.02694835069382e-05,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"sey02010",168,"Up",0.00539590840585618,0.029436396364929,2.08379837912609e-07,1.43782088159701e-06,"ABC transporters"
"sey00521",10,"Down",0.00554598772092866,0.029436396364929,0.0050228058410047,0.00962704452859235,"Streptomycin biosynthesis"
"sey01230",126,"Up",0.00765541020411201,0.0384679869253758,4.64515545779916e-06,1.68692487677969e-05,"Biosynthesis of amino acids"
"sey00785",3,"Down",0.00780509879645306,0.0384679869253758,0.455609721916005,0.499001124003244,"Lipoic acid metabolism"
"RpoS",63,"Up",0.00996395887171862,0.0474147008378334,6.26650391101734e-05,0.000172955507944079,"RpoS"
"sey00281",5,"Up",0.0104382567432479,0.0480159810189403,0.15747279794287,0.199369230423083,"Geraniol degradation"
"sey00040",35,"Up",0.0117395137101075,0.0522597707095109,6.87436894967978e-05,0.000186012336285453,"Pentose and glucuronate interconversions"
"sey02020",184,"Up",0.0125345025607771,0.0540550422933512,3.88438686635056e-08,3.8288956254027e-07,"Two-component system"
"sey00360",7,"Up",0.0146161871395302,0.0611222371289445,0.0400513260578593,0.0614120332887177,"Phenylalanine metabolism"
"Lrp",145,"Up",0.0150857891204074,0.0612305558416537,3.12589134210665e-09,6.16247150301025e-08,"Lrp"
"sey00261",8,"Up",0.0189515829320178,0.074723384131956,0.00605803299130755,0.0110001125368479,"Monobactam biosynthesis"
"sey00051",43,"Up",0.0205048773655305,0.0786020299012001,0.0727868313906904,0.102495742162401,"Fructose and mannose metabolism"
"sey00350",21,"Up",0.0212027363361924,0.0790804760647176,0.0139805027318361,0.023818634283869,"Tyrosine metabolism"
"sey00627",6,"Up",0.023059473534867,0.0818221565377428,0.366577953257997,0.421564646246696,"Aminobenzoate degradation"
"sey00332",2,"Up",0.0231236529345795,0.0818221565377428,0.553049454497837,0.582601715425203,"Carbapenem biosynthesis"
"sey00401",4,"Up",0.0282725957271804,0.0975404552587723,0.220263114760648,0.27139562354437,"Novobiocin biosynthesis"
"sey03060",18,"Down",0.0296678497487369,0.0998576406176998,0.0818451482769489,0.11408717638605,"Protein export"
"sey00565",1,"Down",0.0308121138093205,0.101239802516339,0.0308121138093205,0.0483189966555253,"Ether lipid metabolism"
"sey00020",28,"Down",0.0350600180817572,0.112518197564709,1.9135632448318e-06,8.00217356929664e-06,"Citrate cycle (TCA cycle)"
"sey00361",2,"Up",0.0366333306092411,0.114771760846161,1,1,"Chlorocyclohexane and chlorobenzene degradation"
"sey05132",36,"Up",0.0374255741889656,0.114771760846161,5.30528420605016e-05,0.000149414126619372,"Salmonella infection"
"sey00300",13,"Up",0.0405070165107503,0.121521049532251,0.0010192600151458,0.00213118003166848,"Lysine biosynthesis"
"sey00260",37,"Up",0.0455718641497255,0.133806750056641,5.0755099853248e-05,0.000145920912078088,"Glycine, serine and threonine metabolism"
"sey00270",37,"Up",0.0466995848764232,0.134261306519717,3.83014605498793e-06,1.42854096104955e-05,"Cysteine and methionine metabolism"
"sey00362",9,"Up",0.0478141559430946,0.134660275921368,0.0468449623446864,0.0710396132260079,"Benzoate degradation"
"sey02060",57,"Up",0.0492013262279408,0.135795660389117,0.0949522973461416,0.128464872880074,"Phosphotransferase system (PTS)"
"sey00525",3,"Down",0.0507675914647943,0.136850407434102,0.680421129291495,0.709351663053173,"Acarbose and validamycin biosynthesis"
"sey01502",8,"Up",0.0515668201925603,0.136850407434102,3.20788479724148e-05,9.62365439172445e-05,"Vancomycin resistance"
"sey00770",25,"Up",0.0573821021155515,0.145868372137294,8.15831227912923e-09,1.14067844120656e-07,"Pantothenate and CoA biosynthesis"
"sey00364",1,"Up",0.0581359454170373,0.145868372137294,0.0581359454170373,0.0853485156122462,"Fluorobenzoate degradation"
"sey00623",1,"Up",0.0581359454170373,0.145868372137294,0.0581359454170373,0.0853485156122462,"Toluene degradation"
"sey00523",5,"Down",0.0671808204994343,0.165552736230749,0.408850594286551,0.451371056092353,"Polyketide sugar unit biosynthesis"
"sey00240",48,"Down",0.0719655330145973,0.172662174651053,4.95555464171356e-07,2.97333278502814e-06,"Pyrimidine metabolism"
"sey00760",25,"Up",0.0725681603605876,0.172662174651053,4.59341570441412e-05,0.000134870503661521,"Nicotinate and nicotinamide metabolism"
"sey00626",4,"Up",0.0774813661164476,0.181227602102877,0.398180324553987,0.443136167648792,"Naphthalene degradation"
"sey00920",38,"Down",0.0888663657183676,0.202925567836259,0.0137120939564921,0.0236533620749488,"Sulfur metabolism"
"sey00410",9,"Up",0.0915458141560837,0.202925567836259,7.42089860039527e-05,0.000193581678316057,"beta-Alanine metabolism"
"sey00052",30,"Up",0.0921921669664379,0.202925567836259,0.159085789183559,0.19958035370301,"Galactose metabolism"
"sey02030",23,"Down",0.0926399331426399,0.202925567836259,0.000139977515298679,0.000333049950193409,"Bacterial chemotaxis"
"sey00330",23,"Up",0.0978226891660468,0.210930173514289,0.00430686325534401,0.00837108632728836,"Arginine and proline metabolism"
"sey00999",3,"Down",0.0996525644914313,0.211570059997193,0.115797708074685,0.152191273469586,"Biosynthesis of various plant secondary metabolites"
"sey03020",4,"Down",0.106018280761441,0.221674587046648,0.683650515841101,0.709351663053173,"RNA polymerase"
"sey03010",56,"Down",0.116347751815482,0.23964163806771,0.000289682879916582,0.000655348154565382,"Ribosome"
"sey00061",13,"Down",0.119056845645219,0.241615363221179,0.0026748930219575,0.00534978604391501,"Fatty acid biosynthesis"
"sey03030",21,"Down",0.1235570057527,0.244020293130236,0.0867683132492346,0.119740272283944,"DNA replication"
"sey00910",23,"Up",0.126622374251151,0.244020293130236,8.12489521613815e-08,6.29616422916502e-07,"Nitrogen metabolism"
"sey00903",2,"Up",0.12731493554621,0.244020293130236,0.914015278514855,0.927456679669485,"Limonene and pinene degradation"
"sey00930",2,"Up",0.12731493554621,0.244020293130236,0.914015278514855,0.927456679669485,"Caprolactam degradation"
"sey00740",17,"Up",0.140840148061573,0.266245759349274,6.79168779621849e-08,5.85783072423844e-07,"Riboflavin metabolism"
"sey01120",279,"Up",0.145822533271019,0.268028905379765,2.34019009558489e-06,9.41294727113345e-06,"Microbial metabolism in diverse environments"
"sey00625",5,"Up",0.146924618540858,0.268028905379765,0.370654405596429,0.422729817952953,"Chloroalkane and chloroalkene degradation"
"sey01232",56,"Down",0.147610121803349,0.268028905379765,1.79278248480685e-06,7.73137446572955e-06,"Nucleotide metabolism"
"sey00900",14,"Down",0.16060279222757,0.28783357568058,0.103524512856233,0.137369065136156,"Terpenoid backbone biosynthesis"
"sey01110",351,"Up",0.174645028141332,0.308987357480818,3.56613124021502e-07,2.23693686886215e-06,"Biosynthesis of secondary metabolites"
"sey00450",15,"Up",0.181526341058607,0.313934122224377,8.09074922637408e-06,2.86288049548621e-05,"Selenocompound metabolism"
"sey03420",8,"Down",0.183361056067717,0.313934122224377,0.288825831567235,0.337779362341343,"Nucleotide excision repair"
"RcsB",26,"Up",0.184265680436047,0.313934122224377,0.502038166907113,0.539778432147398,"RcsB"
"sey00071",13,"Up",0.199742333447477,0.333125751524432,0.000179841578565043,0.000416048631232596,"Fatty acid degradation"
"sey00470",17,"Up",0.200358241858898,0.333125751524432,0.000103103493673992,0.000254076466553766,"D-Amino acid metabolism"
"sey00010",44,"Up",0.218339089049741,0.356473524294154,1.45057942804874e-05,4.76618954930301e-05,"Glycolysis / Gluconeogenesis"
"sey00790",24,"Down",0.219567025833356,0.356473524294154,0.0667286935713827,0.0966287378828554,"Folate biosynthesis"
"sey00970",26,"Down",0.249491238159867,0.400346405419322,0.0880963597057846,0.120369283558399,"Aminoacyl-tRNA biosynthesis"
"sey00541",26,"Down",0.261895239945615,0.415420035775802,0.127878563300461,0.166483412598713,"O-Antigen nucleotide sugar biosynthesis"
"sey00564",28,"Up",0.270517777026071,0.424221059427247,2.16495360166109e-10,7.46908992573075e-09,"Glycerophospholipid metabolism"
"sey01212",20,"Down",0.275952910330069,0.427882040736511,0.00224159217253896,0.00454911352662318,"Fatty acid metabolism"
"sey00750",9,"Up",0.283424585344972,0.434584364195624,0.00509576156094828,0.00963308349877895,"Vitamin B6 metabolism"
"OmpR",27,"Up",0.286622866065798,0.434658851836045,1.49211824865275e-10,7.46908992573075e-09,"OmpR"
"sey00030",40,"Up",0.304105543311369,0.45580660952886,0.0505306656598338,0.0757959984897506,"Pentose phosphate pathway"
"RpoE",28,"Up",0.307174019465101,0.45580660952886,0.0152408504912067,0.02534020925044,"RpoE"
"sey03070",38,"Down",0.317436731840049,0.464672675488219,0.13684729149101,0.17649463762392,"Bacterial secretion system"
"sey00542",1,"Down",0.319883363560731,0.464672675488219,0.319883363560731,0.370957177910763,"O-Antigen repeat unit biosynthesis"
"sey01250",49,"Down",0.349584277552064,0.502527398981092,0.00901002321742845,0.0158304889382324,"Biosynthesis of nucleotide sugars"
"sey00592",3,"Up",0.353478978017526,0.502887618210501,0.533035090151972,0.56583724954594,"alpha-Linolenic acid metabolism"
"sey00600",2,"Up",0.389416407355963,0.548361879746152,1,1,"Sphingolipid metabolism"
"sey00946",1,"Up",0.394818193396671,0.550352633219602,0.394818193396671,0.442966753566997,"Degradation of flavonoids"
"sey03430",27,"Down",0.400866156292402,0.553195295683515,0.259520818330193,0.313776594086361,"Mismatch repair"
"sey05100",10,"Up",0.40960236342124,0.559654714377536,0.382034290002616,0.432137147707877,"Bacterial invasion of epithelial cells"
"sey03440",31,"Down",0.447496420554311,0.605436333691126,0.279019540504326,0.330496645414554,"Homologous recombination"
"sey01054",1,"Down",0.460329091676794,0.613650221948193,0.460329091676794,0.500200115365335,"Nonribosomal peptide structures"
"FNR",10,"Down",0.464346423158022,0.613650221948193,0.000766626941028179,0.00167927806129982,"FNR"
"sey00730",14,"Down",0.466907777569277,0.613650221948193,0.0172261005537741,0.0283000223383431,"Thiamine metabolism"
"sey00650",30,"Down",0.474324633897406,0.617516976206057,8.26578580584461e-09,1.14067844120656e-07,"Butanoate metabolism"
"sey00550",26,"Up",0.484149589463188,0.620483665086622,1.27663235775268e-08,1.46812721141559e-07,"Peptidoglycan biosynthesis"
"sey01100",936,"Up",0.487418131706488,0.620483665086622,2.38734169920051e-06,9.41294727113345e-06,"Metabolic pathways"
"sey00670",12,"Down",0.490092170249578,0.620483665086622,0.00576889125228845,0.0106590328650904,"One carbon pool by folate"
"sey00430",3,"Up",0.504727353593784,0.633203407235838,0.504575490920394,0.539778432147398,"Taurine and hypotaurine metabolism"
"sey00520",53,"Up",0.519443611653337,0.642411454473824,0.00579295264407087,0.0106590328650904,"Amino sugar and nucleotide sugar metabolism"
"sey00680",30,"Up",0.521377412326582,0.642411454473824,5.28218092963462e-08,4.85960645526385e-07,"Methane metabolism"
"sey01240",156,"Down",0.536295622132514,0.654945096055636,0.00285930505914898,0.00563691568803656,"Biosynthesis of cofactors"
"sey00053",22,"Up",0.54150009394098,0.655500113718029,0.280203677634078,0.330496645414554,"Ascorbate and aldarate metabolism"
"sey00230",71,"Down",0.565571345634468,0.678685614761361,1.12131231644777e-05,3.8685274917448e-05,"Purine metabolism"
"sey00630",33,"Down",0.580351588178877,0.690418268695561,1.73842008512243e-06,7.73137446572955e-06,"Glyoxylate and dicarboxylate metabolism"
"sey00561",12,"Down",0.595972693267409,0.696681835796087,0.0256253450561552,0.040647099054591,"Glycerolipid metabolism"
"sey00130",21,"Down",0.597896020192352,0.696681835796087,0.00710365492619829,0.0127312257118878,"Ubiquinone and other terpenoid-quinone biosynthesis"
"sey00640",34,"Up",0.602164399892054,0.696681835796087,0.102049687220531,0.136726765402265,"Propanoate metabolism"
"sey00780",14,"Down",0.605810291996598,0.696681835796087,0.239390067593318,0.292352471928123,"Biotin metabolism"
"CRP",231,"Up",0.614842045948168,0.701224812734275,1.00622112727879e-08,1.26235014149521e-07,"CRP"
"sey00562",11,"Down",0.690658119761363,0.781236233828427,0.000131724625711868,0.000318912251723471,"Inositol phosphate metabolism"
"sey00460",8,"Up",0.727501310221838,0.816220982200111,0.067219991570682,0.0966287378828554,"Cyanoamino acid metabolism"
"sey00620",58,"Up",0.760971794844979,0.844072554324407,5.21006929225808e-07,2.99578984304839e-06,"Pyruvate metabolism"
"sey00552",3,"Down",0.764558473119934,0.844072554324407,0.261480495071968,0.313776594086361,"Teichoic acid biosynthesis"
"sey01220",14,"Up",0.790484275797813,0.865535953667583,0.0687277783182439,0.0977776639991511,"Degradation of aromatic compounds"
"sey04122",17,"Down",0.796543957360746,0.865535953667583,0.0146200698945221,0.0246045078712689,"Sulfur relay system"
"sey00543",13,"Up",0.804247256495052,0.867079073408728,0.889914606330777,0.916479221445128,"Exopolysaccharide biosynthesis"
"sey00860",37,"Down",0.816219734400638,0.873165297265799,0.0200751925604735,0.0325926655687687,"Porphyrin metabolism"
"sey01200",111,"Up",0.82410226192829,0.874816247277723,1.60462977877197e-06,7.63582446450109e-06,"Carbon metabolism"
"sey00250",33,"Down",0.847824233929477,0.892482196686998,8.66638424149735e-07,4.59985009741013e-06,"Alanine, aspartate and glutamate metabolism"
"sey01040",3,"Down",0.853678622917998,0.892482196686998,0.153861734717931,0.196601105472912,"Biosynthesis of unsaturated fatty acids"
"ArcA",239,"Up",0.897748449885256,0.931498391610266,1.60003269062621e-08,1.69849624081859e-07,"ArcA"
"sey00380",8,"Up",0.905119254564981,0.932137739775876,0.172534362603368,0.214502180533917,"Tryptophan metabolism"
"sey00633",8,"Up",0.938674787848431,0.959018722653316,0.000966531461034116,0.00205202064034935,"Nitrotoluene degradation"
"sey00540",40,"Up",0.947158445276775,0.959018722653316,1.79203569107732e-05,5.62047557656068e-05,"Lipopolysaccharide biosynthesis"
"sey03018",16,"Down",0.952069311619597,0.959018722653316,0.00906238134869825,0.0158304889382324,"RNA degradation"
