aac	SL1344_1549
aadA	SL1344_1199
aarF	SL1344_3926
aas	SL1344_2988
aat	SL1344_0893
abc	SL1344_0248
abrB	SL1344_0711
accA	SL1344_0233
accB	SL1344_3352
accC	SL1344_3353
accD	SL1344_2335
aceA	SL1344_4119
aceB	SL1344_4118
aceE	SL1344_0152
aceF	SL1344_0153
aceK	SL1344_4120
ackA	SL1344_2306
acnA	SL1344_1644
acnB	SL1344_0159
acpD	SL1344_1572
acpP	SL1344_1133
acpS	SL1344_2539
acpT	SL1344_3548
acrA	SL1344_0469
acrB	SL1344_0468
acrD	SL1344_2444
acrE	SL1344_3363
acrF	SL1344_3364
acrR	SL1344_0470
acs	SL1344_4211
actP	SL1344_4209
ada	SL1344_2235
add	SL1344_1395
adhC	SL1344_1557
adhP	SL1344_1497
adh	SL1344_1680
adiC	SL1344_4231
adi	SL1344_4233
adiY	SL1344_4232
adk	SL1344_0481
adrA	SL1344_0380
aefA	SL1344_0471
aegA	SL1344_2442
aer	SL1344_3190
aes	SL1344_0483
agaR	SL1344_3225
agp	SL1344_1056
ahpC	SL1344_0596
ahpF	SL1344_0597
aidB	SL1344_4310
ais	SL1344_2265
alaS	SL1344_2807
aldB	SL1344_3645
alkA	SL1344_2101
alkB	SL1344_2234
allA	SL1344_0508
allB	SL1344_0516
allC	SL1344_0520
allD	SL1344_0521
allP	SL1344_0515
allR	SL1344_0509
alr-a	SL1344_1730
alr-b	SL1344_4183
amiA	SL1344_2413
amiB	SL1344_4292
amiC	SL1344_2969
amn	SL1344_1986
ampD	SL1344_0146
ampE	SL1344_0147
ampG	SL1344_0438
ampH	SL1344_0370
amtB	SL1344_0457
amyA	SL1344_1892
anmK	SL1344_1378
ansA	SL1344_1229
ansB	SL1344_3081
ansP	SL1344_1515
apaG	SL1344_0090
apaH	SL1344_0089
apbA	SL1344_0428
apbE	SL1344_2236
apeE	SL1344_0558
aph(3'')-Ib	SL1344_P3_0014
aphA	SL1344_4185
apl	SL1344_2707
appB	SL1344_1721
appC	SL1344_1720
apt	SL1344_0476
araA	SL1344_0102
araB	SL1344_0103
araC	SL1344_0104
araD	SL1344_0101
araE	SL1344_2994
araH	SL1344_1864
araJ	SL1344_0389
arcA	SL1344_4525
arcB	SL1344_3300
arcC	SL1344_0525
ard	SL1344_P2_0041
argA	SL1344_2970
argB	SL1344_4072
argC	SL1344_4071
argDa	SL1344_1238
argDb	SL1344_3435
argE	SL1344_4070
argG	SL1344_3262
argH	SL1344_4073
argI	SL1344_4399
argR	SL1344_3332
argS	SL1344_1844
argT	SL1344_2324
arnT	SL1344_2270
aroA	SL1344_0915
aroB	SL1344_3453
aroC	SL1344_2353
aroD	SL1344_1292
aroE	SL1344_1293
aroF	SL1344_2628
aroG	SL1344_0737
aroH	SL1344_1281
aroK	SL1344_3454
aroL	SL1344_0383
aroM	SL1344_0385
aroP	SL1344_0150
aroQ	SL1344_1204
artI	SL1344_0866
artJ	SL1344_0863
artM	SL1344_0864
artP	SL1344_0867
artQ	SL1344_0865
asd	SL1344_3506
asmA	SL1344_2097
asnA	SL1344_3844
asnB	SL1344_0662
asnCa	SL1344_0937
asnCb	SL1344_3843
aspA	SL1344_4263
aspC	SL1344_0935
aspS	SL1344_1836
asrA	SL1344_2510
asrB	SL1344_2511
asrC	SL1344_2512
asr	SL1344_1415
assT	SL1344_3165
astA	SL1344_1239
astB	SL1344_1241
astD	SL1344_1240
astE	SL1344_1242
atpA	SL1344_3834
atpB	SL1344_3838
atpC	SL1344_3831
atpD	SL1344_3832
atpE	SL1344_3837
atpF	SL1344_3836
atpG	SL1344_3833
atpH	SL1344_3835
atpI	SL1344_3839
avrA	SL1344_2845
avtA	SL1344_3630
b2145	SL1344_2162
bacA	SL1344_3178
baeR	SL1344_2108
baeS	SL1344_2107
bapA	SL1344_2661
barA	SL1344_2939
basR	SL1344_4229
basS	SL1344_4228
bax	SL1344_3628
bcfA	SL1344_0021
bcfB	SL1344_0022
bcfC	SL1344_0023
bcfD	SL1344_0024
bcfE	SL1344_0025
bcfF	SL1344_0026
bcfG	SL1344_0027
bcfH	SL1344_0028
bcp	SL1344_2454
bcr	SL1344_2198
bcsA	SL1344_3584
bcsC	SL1344_3582
bfd	SL1344_3411
bfr	SL1344_3410
bglA	SL1344_3027
bglJ	SL1344_4479
bglX	SL1344_2144
bigA	SL1344_3445
bioA	SL1344_0770
bioB	SL1344_0771
bioC	SL1344_0773
bioDa	SL1344_0774
bioDb	SL1344_1419
bioF	SL1344_0772
bioH	SL1344_3476
birA	SL1344_4082
bisC	SL1344_3610
blc	SL1344_4276
blr	SL1344_1393A
bolA	SL1344_0440
brnQ	SL1344_0394
bssR	SL1344_0829
bssS	SL1344_1098
btuB	SL1344_4079
btuC	SL1344_1274
btuD	SL1344_1276
btuE	SL1344_1275
btuF	SL1344_0207
btuR	SL1344_1650
C1	SL1344_0951
cadA	SL1344_2521
cadB	SL1344_2520
cadC	SL1344_2519
cafA	SL1344_3342
caiA	SL1344_0074
caiB	SL1344_0073
caiC	SL1344_0072
caiD	SL1344_0071
caiE	SL1344_0070
caiF	SL1344_0069
caiT	SL1344_0075
carA	SL1344_0067
carB	SL1344_0068
cbiA	SL1344_2011
cbiB	SL1344_2010
cbiC	SL1344_2009
cbiD	SL1344_2008
cbiE	SL1344_2007
cbiF	SL1344_2005
cbiG	SL1344_2004
cbiH	SL1344_2003
cbiJ	SL1344_2002
cbiK	SL1344_2001
cbiL	SL1344_2000
cbiM	SL1344_1999
cbiN	SL1344_1998
cbiO	SL1344_1996
cbiP	SL1344_1995
cbiQ	SL1344_1997
cbiT	SL1344_2006
cbpA	SL1344_1051
cca	SL1344_3177
ccdA	SL1344_P1_0080
ccdB	SL1344_P1_0079
ccmA1	SL1344_3785
ccmA2	SL1344_2224
ccmB1	SL1344_3784
ccmB2	SL1344_2223F
ccmC1	SL1344_3783
ccmC2	SL1344_2223E
ccmD1	SL1344_3782A
ccmD2	SL1344_2223D
ccmE1	SL1344_3782
ccmE2	SL1344_2223C
ccmF1	SL1344_3781
ccmF2	SL1344_2223B
ccmG1	SL1344_3780
ccmG2	SL1344_2223A
ccmH1	SL1344_3779
ccmH2	SL1344_2223
ccrB	SL1344_0618
cdaR	SL1344_0211
cdd	SL1344_2160
cdh-a	SL1344_4013
cdh-b	SL1344_4019
cdsA	SL1344_0223
cedA	SL1344_1254
celA	SL1344_1247
celB	SL1344_1248
celC	SL1344_1249
celD	SL1344_1250
celF	SL1344_1251
celG	SL1344_1252
cfa	SL1344_1359
chaA	SL1344_1699
chaB	SL1344_1698
cheA	SL1344_1856
cheB	SL1344_1852
cheM	SL1344_1854
cheR	SL1344_1853
cheW	SL1344_1855
cheY	SL1344_1851
cheZ	SL1344_1850
chiA	SL1344_0018
cib	SL1344_P2_0012
cigR	SL1344_3727
cIIa	SL1344_2592
cIIb	SL1344_2635
cIIc	SL1344_2706
cirA	SL1344_2176
cI	SL1344_2708
citA2	SL1344_0054
citA	SL1344_0613
citB2	SL1344_0053
citB	SL1344_0614
citC2	SL1344_0059
citC	SL1344_0612
citD2	SL1344_0060
citD	SL1344_0611
citE2	SL1344_0061
citE	SL1344_0610
citF2	SL1344_0062
citF	SL1344_0609
citG2	SL1344_0064
citG	SL1344_0607
citT	SL1344_0606
citX2	SL1344_0063
citX	SL1344_0608
clcA	SL1344_0204
clcB	SL1344_1420
clpA	SL1344_0884
clpB	SL1344_2620
clpP	SL1344_0442
clpS	SL1344_0883
clpX	SL1344_0443
cls	SL1344_1670
cmk	SL1344_0917
coaA	SL1344_4083
coaD	SL1344_3691
coaE	SL1344_0140
cobB	SL1344_1158
cobC	SL1344_0631
cobD	SL1344_0632
cobS	SL1344_1993
cobT	SL1344_1992
cobU	SL1344_1994
codA	SL1344_3306
codB	SL1344_3305
cof	SL1344_0451
comA	SL1344_3459
comB	SL1344_3458
comC	SL1344_3457
comD	SL1344_3456
comE1	SL1344_0447
comE	SL1344_3455
comF	SL1344_3477
comM	SL1344_3860
comN	SL1344_2978
comO	SL1344_2977
comP	SL1344_2976
comQ	SL1344_2975
copA	SL1344_0491
copR	SL1344_1035
copS	SL1344_1034
corA	SL1344_3906
corB	SL1344_2652
corE	SL1344_2651
cpdA	SL1344_3157
cpdB	SL1344_4336
cpsB2	SL1344_2061
cpsB	SL1344_2082
cpsG	SL1344_2081
cpxA	SL1344_4007
cpxP	SL1344_4009
cpxR	SL1344_4008
creA	SL1344_4514
creB	SL1344_4515
creC	SL1344_4516
creD	SL1344_4517
crl	SL1344_0315
crp	SL1344_3433
crr	SL1344_2396
csdA	SL1344_2964
csgA	SL1344_1081
csgB	SL1344_1080
csgC	SL1344_1082
csgD	SL1344_1079
csgE	SL1344_1078
csgF	SL1344_1077
csgG	SL1344_1076
csiD	SL1344_2773
csiE	SL1344_2515
cspA	SL1344_3615
cspB	SL1344_1924
cspC	SL1344_1766
cspD	SL1344_0882
cspE	SL1344_0617
cspH	SL1344_1182
csrA	SL1344_2806
cstAa	SL1344_0588
cstAb	SL1344_4463
cueO	SL1344_0169
cueR	SL1344_0492
cusA	SL1344_0550A
cutA	SL1344_4261
cutC	SL1344_1842
cutF	SL1344_0242
cvpA	SL1344_2332
cvrA	SL1344_1729
cyaA	SL1344_3894
cyaY	SL1344_3898
cybB	SL1344_1569
cybC	SL1344_4369
cycA	SL1344_4331
cydA	SL1344_0722
cydB	SL1344_0723
cydC	SL1344_0894
cydD	SL1344_0895
cyoA	SL1344_0437
cyoB	SL1344_0436
cyoC	SL1344_0435
cyoD	SL1344_0434
cyoE	SL1344_0433
cypD	SL1344_0446
cysA	SL1344_2404
cysB	SL1344_1645
cysC	SL1344_2912
cysD	SL1344_2914
cysE	SL1344_3665
cysG	SL1344_3444
cysH	SL1344_2925
cysI	SL1344_2926
cysJ	SL1344_2927
cysK	SL1344_2393
cysM	SL1344_2403
cysN	SL1344_2913
cysP	SL1344_2407
cysQ	SL1344_4337
cysS	SL1344_0530
cysU	SL1344_2406
cysW	SL1344_2405
cysZ	SL1344_2392
cytR	SL1344_4043
dacA	SL1344_0625
dacB	SL1344_3272
dacC	SL1344_0839
